Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,L. palustris,L. palustris,12569,12581,6.90,2,NO_ANNOT,,,NoMatch,,,,,,,,
1,Sigmodon,Sigmodon,12598,12606,4.01,1,NO_ANNOT,,,Exact,0,"Sigmodon Say & Ord, 1825",Sigmodon,7GSM,1,Catalogue of Life,
2,Blarina;,Blarina,12629,12637,3.72,1,NO_ANNOT,,,Exact,0,"Blarina Gray, 1838",Blarina,62FSY,1,Catalogue of Life,
3,Peromyseus;,Peromyseus,12658,12669,4.24,1,NO_ANNOT,,,Exact,0,Peromyseus,Peromyseus,5087846,168,ION,
4,Eleanoides forficatus,Eleanoides forficatus,12695,12716,6.62,2,NO_ANNOT,,,Fuzzy,1,"Elanoides forficatus (Linnaeus, 1758)",Elanoides forficatus,38YHZ,1,Catalogue of Life,
5,Ictinia mississippiensis,Ictinia mississippiensis,12737,12761,11.86,2,NO_ANNOT,,,Exact,0,"Ictinia mississippiensis (A. Wilson, 1811)",Ictinia mississippiensis,3PBB7,1,Catalogue of Life,
6,Anhinga anhinga,Anhinga anhinga,12776,12791,8.96,2,NO_ANNOT,,,Exact,0,"Anhinga anhinga (Linnaeus, 1766)",Anhinga anhinga,672B8,1,Catalogue of Life,
7,Protonotaria citrea,Protonotaria citrea,12816,12835,10.17,2,NO_ANNOT,,,Exact,0,"Protonotaria citrea (Boddaert, 1783)",Protonotaria citrea,4N6GN,1,Catalogue of Life,
8,Hyla cinerea semifasciata,Hyla cinerea semifasciata,12859,12884,13.46,3,NO_ANNOT,,,Exact,0,"Hyla cinerea semifasciata Hallowell, 1857",Hyla cinerea semifasciata,5J23R,1,Catalogue of Life,
9,Ophibolus getulus sayi,Ophibolus getulus sayi,12906,12928,15.06,3,NO_ANNOT,,,PartialExact,0,"Ophibolus sayi Baird & Girard, 1853",Ophibolus sayi,4820343,11,GBIF Backbone Taxonomy,
10,Diemyctylus viridescens,Diemyctylus viridescens,12949,12972,13.07,2,NO_ANNOT,,,Exact,0,"Diemyctylus viridescens (Rafinesque, 1820)",Diemyctylus viridescens,3623T,1,Catalogue of Life,
11,Natrix,Natrix,13009,13015,4.42,1,NO_ANNOT,,,Exact,0,"Natrix Gené, 1839",Natrix,87HRN,1,Catalogue of Life,
12,Macroclemys lacertina.,Macroclemys lacertina,13053,13075,12.68,2,NO_ANNOT,,,Exact,0,"Macroclemys lacertina Rhoads, 1895",Macroclemys lacertina,2441919,11,GBIF Backbone Taxonomy,
13,Didelphys marsupialis,Didelphys marsupialis,13323,13344,13.05,2,NO_ANNOT,,,Exact,0,Didelphys marsupialis,Didelphys marsupialis,98509563,169,uBio NameBank,
14,Microtus pinetorum,Microtus pinetorum,13359,13377,12.49,2,NO_ANNOT,,,Exact,0,"Microtus (Pitymys) pinetorum (Le Conte, 1830)",Microtus pinetorum,7VV8F,1,Catalogue of Life,
15,Blarina,Blarina,13398,13405,3.72,1,NO_ANNOT,,,Exact,0,"Blarina Gray, 1838",Blarina,62FSY,1,Catalogue of Life,
16,Empidonax acadicus,Empidonax acadicus,13528,13546,11.89,2,NO_ANNOT,,,Exact,0,Empidonax acadicus,Empidonax acadicus,7662567,179,Open Tree of Life,
17,Icteria,Icteria,13570,13577,4.43,1,NO_ANNOT,,,Exact,0,"Icteria Vieillot, 1808",Icteria,53FL,1,Catalogue of Life,
18,Geothlypis formosa,Geothlypis formosa,13603,13621,9.48,2,NO_ANNOT,,,Exact,0,"Geothlypis formosa (A. Wilson, 1811)",Geothlypis formosa,6KD7H,1,Catalogue of Life,
19,"Helminthophila pinus,",Helminthophila pinus,13645,13666,11.08,2,NO_ANNOT,,,Exact,0,Helminthophila pinus,Helminthophila pinus,3953407,168,ION,
20,Thryothorus,Thryothorus,13686,13697,5.72,1,NO_ANNOT,,,Exact,0,"Thryothorus Vieillot, 1816",Thryothorus,7WDV,1,Catalogue of Life,
21,Sceloporus undulatus,Sceloporus undulatus,13871,13891,11.95,2,NO_ANNOT,,,Exact,0,"Sceloporus undulatus (Bosc & Daudin, 1801)",Sceloporus undulatus,4V5CX,1,Catalogue of Life,
