Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
162,Williamia peltoides,Williamia peltoides,24364,24383,11.10,2,NO_ANNOT,,,Exact,0,"Williamia peltoides (Carpenter, 1864)",Williamia peltoides,5BZC5,1,Catalogue of Life,
163,Onchidium,Onchidium,24384,24393,5.28,1,NO_ANNOT,,,Exact,0,"Onchidium Buchannan, 1800",Onchidium,7PB8F,1,Catalogue of Life,
164,Onchidella,Onchidella,24402,24412,6.37,1,NO_ANNOT,,,Exact,0,"Onchidella J.E. Gray, 1850",Onchidella,7PB89,1,Catalogue of Life,
165,Bulimulus,Bulimulus,25542,25551,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
166,B. rugulosus.,B. rugulosus,25559,25572,6.77,2,NO_ANNOT,,,NoMatch,,,,,,,,
167,B. ustulatus.,B. ustulatus,25588,25601,7.39,2,NO_ANNOT,,,NoMatch,,,,,,,,
168,B. calvus.,B. calvus,25602,25612,5.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
169,B. eschariferus,B. eschariferus,25623,25638,6.95,2,NO_ANNOT,,,NoMatch,,,,,,,,
170,B. galapaganus.,B. galapaganus,25659,25674,7.34,2,NO_ANNOT,,,NoMatch,,,,,,,,
171,B. perspectivus.,B. perspectivus,25675,25691,6.18,2,NO_ANNOT,,,NoMatch,,,,,,,,
172,P. mimita.,P. mimita,25705,25715,5.46,2,NO_ANNOT,,,NoMatch,,,,,,,,
173,Bulimulus nux,Bulimulus nux,25729,25742,4.16,2,NO_ANNOT,,,Exact,0,"Bulimulus nux (Broderip, 1832)",Bulimulus nux,3296,163,IUCN Red List of Threatened Species,
174,B. achatellinus.,B. achatellinus,25758,25774,7.23,2,NO_ANNOT,,,NoMatch,,,,,,,,
175,B. acutus.,B. acutus,25786,25796,6.75,2,NO_ANNOT,,,NoMatch,,,,,,,,
176,B. nucula.,B. nucula,25797,25807,6.02,2,NO_ANNOT,,,NoMatch,,,,,,,,
177,B. amastroides.,B. amastroides,25808,25823,6.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
178,Bulimulus olla.,Bulimulus olla,25824,25839,7.74,2,NO_ANNOT,,,Exact,0,"Bulimulus olla (Dall, 1893)",Bulimulus olla,44018,163,IUCN Red List of Threatened Species,
179,B. unifasciatus.,B. unifasciatus,25850,25866,7.71,2,NO_ANNOT,,,NoMatch,,,,,,,,
180,B. canaliferus.,B. canaliferus,25877,25892,7.06,2,NO_ANNOT,,,NoMatch,,,,,,,,
181,Conulus galapaganus.,Conulus galapaganus,25893,25913,13.17,2,NO_ANNOT,,,Exact,0,"Conulus galapaganus Dall, 1893",Conulus galapaganus,XVW3,1,Catalogue of Life,
182,Succinea,Succinea,25914,25922,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
183,S. brevior.,S. brevior,25931,25942,5.37,2,NO_ANNOT,,,NoMatch,,,,,,,,
184,S. producta.,S. producta,25943,25955,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
185,B. chemnitzioides.,B. chemnitzioides,25956,25974,6.40,2,NO_ANNOT,,,NoMatch,,,,,,,,
186,Leptinaria chathamensis.,Leptinaria chathamensis,25975,25999,12.84,2,NO_ANNOT,,,Exact,0,"Leptinaria chathamensis Dall, 1892",Leptinaria chathamensis,3TJPJ,1,Catalogue of Life,
187,Vitrea chathamensis.,Vitrea chathamensis,26011,26031,11.59,2,NO_ANNOT,,,PartialExact,0,"Vitrea Fitzinger, 1833",Vitrea,7PKVF,1,Catalogue of Life,
188,Helieina nesiotica.,Helieina nesiotica,26032,26051,5.08,2,NO_ANNOT,,,Fuzzy,1,"Helicina nesiotica Dall, 1892",Helicina nesiotica,3K7SM,1,Catalogue of Life,
189,Bulimuli,Bulimuli,26507,26515,1.80,1,NO_ANNOT,,,Exact,0,Bulimuli,Bulimuli,3872869,168,ION,
190,Bulimulus,Bulimulus,27384,27393,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
191,Darivini nesioticus,Darivini nesioticus,27394,27413,5.48,2,NO_ANNOT,,,NoMatch,,,,,,,,
192,Bvlimulxis sculpturatus,Bvlimulxis sculpturatus,27424,27447,7.16,2,NO_ANNOT,,,NoMatch,,,,,,,,
193,Bulimulus rugiferus,Bulimulus rugiferus,27448,27467,12.89,2,NO_ANNOT,,,Exact,0,"Bulimulus rugiferus (Sowerby, 1833)",Bulimulus rugiferus,3299,163,IUCN Red List of Threatened Species,
194,Bulimulus,Bulimulus,27481,27490,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
195,Bulimulus,Bulimulus,27554,27563,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
196,Bulimulus,Bulimulus,28333,28342,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
197,Bulimulus rugulosus,Bulimulus rugulosus,28364,28383,13.02,2,NO_ANNOT,,,Exact,0,"Bulimulus rugulosus (Sowerby, 1897)",Bulimulus rugulosus,44025,163,IUCN Red List of Threatened Species,
198,Bulimulus jacobi,Bulimulus jacobi,28510,28526,6.50,2,NO_ANNOT,,,Exact,0,"Bulimulus jacobi (Sowerby, 1833)",Bulimulus jacobi,3293,163,IUCN Red List of Threatened Species,
199,Simrothi rugiferus,Simrothi rugiferus,28546,28564,4.07,2,NO_ANNOT,,,NoMatch,,,,,,,,
200,Limncea megasoma,Limncea megasoma,31231,31247,2.80,2,NO_ANNOT,,,Fuzzy,1,"Limnaea megasoma (Say, 1824)",Limnaea megasoma,7RX5V,1,Catalogue of Life,
201,Galapagos,Galapagos,34734,34743,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
202,Bulimuli,Bulimuli,34835,34843,1.80,1,NO_ANNOT,,,Exact,0,Bulimuli,Bulimuli,3872869,168,ION,
203,Bulimulus,Bulimulus,35821,35830,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
204,Holospira,Holospira,39941,39950,4.78,1,NO_ANNOT,,,Exact,0,"Holospira E. von Martens, 1860",Holospira,7P5DZ,1,Catalogue of Life,
205,Cylindrella,Cylindrella,39951,39962,6.49,1,NO_ANNOT,,,Exact,0,"Cylindrella L. Pfeiffer, 1840",Cylindrella,7P2NV,1,Catalogue of Life,
206,Bulimuli,Bulimuli,42319,42327,1.80,1,NO_ANNOT,,,Exact,0,Bulimuli,Bulimuli,3872869,168,ION,
207,B. unifasciatus,B. unifasciatus,44494,44509,7.71,2,NO_ANNOT,,,NoMatch,,,,,,,,
208,Buliminus,Buliminus,45841,45850,5.76,1,NO_ANNOT,,,Exact,0,"Buliminus H. Beck, 1837",Buliminus,87FF5,1,Catalogue of Life,
209,Achatina,Achatina,45866,45874,3.96,1,NO_ANNOT,,,Exact,0,"Achatina Lamarck, 1799",Achatina,7NMQS,1,Catalogue of Life,
210,Bulimulus,Bulimulus,45996,46005,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
211,Galapagos.,Galapagos,46022,46032,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
212,Noronha,Noronha,46462,46469,3.17,1,NO_ANNOT,,,Exact,0,"Noronha Kirkpatrick, 1908",Noronha,urn:lsid:irmng.org:taxname:1309634,181,IRMNG,
213,Galapagos,Galapagos,46524,46533,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
214,Noronha,Noronha,46651,46658,3.17,1,NO_ANNOT,,,Exact,0,"Noronha Kirkpatrick, 1908",Noronha,urn:lsid:irmng.org:taxname:1309634,181,IRMNG,
215,Galapagos,Galapagos,46668,46677,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
216,Opara,Opara,46936,46941,2.97,1,NO_ANNOT,,,Exact,0,"Opara H.B. Baker, 1940",Opara,145891,2,Wikispecies,
217,Bulimus,Bulimus,47041,47048,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
218,Bulimus,Bulimus,47117,47124,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
219,Tomigerus,Tomigerus,47145,47154,5.43,1,NO_ANNOT,,,Exact,0,"Tomigerus Spix, 1827",Tomigerus,7PJLX,1,Catalogue of Life,
220,Polygyratia quinquelirata,Polygyratia quinquelirata,47259,47284,13.83,2,NO_ANNOT,,,Exact,0,Polygyratia quinquelirata Sm,Polygyratia quinquelirata,gn_112348,186,MCZbase,
221,Tomigerus,Tomigerus,47346,47355,5.43,1,NO_ANNOT,,,Exact,0,"Tomigerus Spix, 1827",Tomigerus,7PJLX,1,Catalogue of Life,
222,Bulimulus,Bulimulus,47379,47388,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
223,Pwpa solitaria,Pwpa solitaria,47407,47421,1.98,2,NO_ANNOT,,,NoMatch,,,,,,,,
224,Stenogyra,Stenogyra,47432,47441,4.94,1,NO_ANNOT,,,Exact,0,"Stenogyra Shuttleworth, 1854",Stenogyra,7PHG4,1,Catalogue of Life,
225,Opeas octonoides,Opeas octonoides,47443,47459,8.87,2,NO_ANNOT,,,PartialExact,0,"Opeas Albers, 1850",Opeas,7PB9P,1,Catalogue of Life,
226,Opeas,Opeas,47478,47483,2.43,1,NO_ANNOT,,,Exact,0,"Opeas Albers, 1850",Opeas,7PB9P,1,Catalogue of Life,
227,Opeas,Opeas,47504,47509,2.43,1,NO_ANNOT,,,Exact,0,"Opeas Albers, 1850",Opeas,7PB9P,1,Catalogue of Life,
228,Polygyratia,Polygyratia,47620,47631,5.58,1,NO_ANNOT,,,Exact,0,"Polygyratia Gray, 1847",Polygyratia,7PD3H,1,Catalogue of Life,
229,H. endodonta,H. endodonta,47797,47809,6.03,2,NO_ANNOT,,,NoMatch,,,,,,,,
230,Galapagos,Galapagos,48081,48090,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
231,Noronha fauna,Noronha fauna,48305,48318,4.22,2,NO_ANNOT,,,PartialExact,0,"Noronha Kirkpatrick, 1908",Noronha,urn:lsid:irmng.org:taxname:1309634,181,IRMNG,
232,Tomigerus,Tomigerus,48472,48481,5.43,1,NO_ANNOT,,,Exact,0,"Tomigerus Spix, 1827",Tomigerus,7PJLX,1,Catalogue of Life,
233,Bulimulus,Bulimulus,49159,49168,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
234,Galapagos,Galapagos,49185,49194,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
235,Bulimuli,Bulimuli,49427,49435,1.80,1,NO_ANNOT,,,Exact,0,Bulimuli,Bulimuli,3872869,168,ION,
236,Pupa solitaria,Pupa solitaria,49453,49467,3.21,2,NO_ANNOT,,,Exact,0,Pupa solitaria Ridley 1890,Pupa solitaria,5096806,168,ION,
237,P. munita,P. munita,49534,49543,5.46,2,NO_ANNOT,,,NoMatch,,,,,,,,
238,P. clausa,P. clausa,49548,49557,5.46,2,NO_ANNOT,,,NoMatch,,,,,,,,
239,Galapagos,Galapagos,49574,49583,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
240,Stenogyra,Stenogyra,49750,49759,4.94,1,NO_ANNOT,,,Exact,0,"Stenogyra Shuttleworth, 1854",Stenogyra,7PHG4,1,Catalogue of Life,
241,Patula,Patula,50517,50523,4.29,1,NO_ANNOT,,,Exact,0,Patula,Patula,6JLY,1,Catalogue of Life,
242,Endodonta ten,Endodonta ten,50572,50585,1.86,2,NO_ANNOT,,,PartialExact,0,"Endodonta Albers, 1850",Endodonta,7P3F9,1,Catalogue of Life,
243,Endodonta,Endodonta,50597,50606,3.63,1,NO_ANNOT,,,Exact,0,"Endodonta Albers, 1850",Endodonta,7P3F9,1,Catalogue of Life,
244,Helenoconcha,Helenoconcha,50615,50627,5.24,1,NO_ANNOT,,,Exact,0,"Helenoconcha Pilsbry, 1892",Helenoconcha,7P4WK,1,Catalogue of Life,
245,Achatina,Achatina,50681,50689,3.96,1,NO_ANNOT,,,Exact,0,"Achatina Lamarck, 1799",Achatina,7NMQS,1,Catalogue of Life,
246,Achatina,Achatina,50756,50764,3.96,1,NO_ANNOT,,,Exact,0,"Achatina Lamarck, 1799",Achatina,7NMQS,1,Catalogue of Life,
247,Cleostyla,Cleostyla,50765,50774,5.02,1,NO_ANNOT,,,Exact,0,"Cleostyla Dall, 1896",Cleostyla,7P22S,1,Catalogue of Life,
248,Bulimulus,Bulimulus,50800,50809,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
249,Pachnodus',Pachnodus,50810,50820,4.96,1,NO_ANNOT,,,Exact,0,"Pachnodus E. von Martens, 1860",Pachnodus,7PBGM,1,Catalogue of Life,
250,Camp olaemus perexilis,Camp olaemus perexilis,50879,50901,0.97,3,NO_ANNOT,,,NoMatch,,,,,,,,
251,Succinea,Succinea,50976,50984,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
252,Endodonta,Endodonta,51146,51155,3.63,1,NO_ANNOT,,,Exact,0,"Endodonta Albers, 1850",Endodonta,7P3F9,1,Catalogue of Life,
253,Pachyotus melanoides,Pachyotus melanoides,51156,51176,11.88,2,NO_ANNOT,,,PartialExact,0,"Pachyotus Beck, 1837",Pachyotus,urn:lsid:irmng.org:taxname:1406153,181,IRMNG,
254,Succinea.,Succinea,51213,51222,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
255,Pachyotus,Pachyotus,51912,51921,5.45,1,NO_ANNOT,,,Exact,0,"Pachyotus Beck, 1837",Pachyotus,urn:lsid:irmng.org:taxname:1406153,181,IRMNG,
256,Alexandri,Alexandri,52071,52080,1.97,1,NO_ANNOT,,,Exact,0,Astragalus sect. Alexandri N.Ulziykh.,Alexandri,926458-1,167,IPNI,
257,Galapagos,Galapagos,52520,52529,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
258,Patula,Patula,53023,53029,4.29,1,NO_ANNOT,,,Exact,0,Patula,Patula,6JLY,1,Catalogue of Life,
259,Endodonta,Endodonta,53037,53046,3.63,1,NO_ANNOT,,,Exact,0,"Endodonta Albers, 1850",Endodonta,7P3F9,1,Catalogue of Life,
260,Tomigerus perexilis,Tomigerus perexilis,53602,53621,12.73,2,NO_ANNOT,,,Exact,0,"Tomigerus perexilis E. A. Smith, 1892",Tomigerus perexilis,7TCST,1,Catalogue of Life,
261,Noronha,Noronha,53773,53780,3.17,1,NO_ANNOT,,,Exact,0,"Noronha Kirkpatrick, 1908",Noronha,urn:lsid:irmng.org:taxname:1309634,181,IRMNG,
262,Galapagos,Galapagos,53785,53794,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
263,Siiccinea brevior,Siiccinea brevior,54011,54028,4.59,2,NO_ANNOT,,,NoMatch,,,,,,,,
264,Galapagos,Galapagos,54036,54045,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
265,S. pida,S. pida,54133,54140,4.88,2,NO_ANNOT,,,NoMatch,,,,,,,,
266,Bensoniana.,Bensoniana,54160,54171,3.93,1,NO_ANNOT,,,Exact,0,"Bensoniana Malaise, 1942",Bensoniana,urn:lsid:irmng.org:taxname:1132399,181,IRMNG,
267,S. corbis,S. corbis,54306,54315,4.91,2,NO_ANNOT,,,NoMatch,,,,,,,,
268,Bulimus mirisvulpina,Bulimus mirisvulpina,54999,55019,7.35,2,NO_ANNOT,,,PartialExact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
269,Bulimus bilabiatus,Bulimus bilabiatus,55169,55187,12.75,2,NO_ANNOT,,,Exact,0,Bulimus bilabiatus (Brod. ),Bulimus bilabiatus,4154226,168,ION,
270,Pachyotus,Pachyotus,55405,55414,5.45,1,NO_ANNOT,,,Exact,0,"Pachyotus Beck, 1837",Pachyotus,urn:lsid:irmng.org:taxname:1406153,181,IRMNG,
271,Helicacea,Helicacea,55498,55507,3.37,1,NO_ANNOT,,,Exact,0,Helicacea,Helicacea,27457,168,ION,
272,Pachyotus aurisvulpina,Pachyotus aurisvulpina,55585,55607,7.89,2,NO_ANNOT,,,PartialExact,0,"Pachyotus Beck, 1837",Pachyotus,urn:lsid:irmng.org:taxname:1406153,181,IRMNG,
273,Pachyotus,Pachyotus,55873,55882,5.45,1,NO_ANNOT,,,Exact,0,"Pachyotus Beck, 1837",Pachyotus,urn:lsid:irmng.org:taxname:1406153,181,IRMNG,
274,Cleostyla ani,Cleostyla ani,56230,56243,3.26,2,NO_ANNOT,,,PartialExact,0,"Cleostyla Dall, 1896",Cleostyla,7P22S,1,Catalogue of Life,
275,Pachnodus,Pachnodus,56334,56343,4.96,1,NO_ANNOT,,,Exact,0,"Pachnodus E. von Martens, 1860",Pachnodus,7PBGM,1,Catalogue of Life,
276,Boysidia,Boysidia,56475,56483,3.92,1,NO_ANNOT,,,Exact,0,"Boysidia Ancey, 1881",Boysidia,87F8Z,1,Catalogue of Life,
277,P. melanioides,P. melanioides,56743,56757,6.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
278,Pachyotus melanioides.,Pachyotus melanioides,57189,57211,12.19,2,NO_ANNOT,,,PartialExact,0,"Pachyotus Beck, 1837",Pachyotus,urn:lsid:irmng.org:taxname:1406153,181,IRMNG,
279,P. melanioides.,P. melanioides,57219,57234,6.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
280,Cionella,Cionella,57381,57389,6.03,1,NO_ANNOT,,,Exact,0,"Cionella Beck, 1837",Cionella,urn:lsid:irmng.org:taxname:1304920,181,IRMNG,
281,Vallonia,Vallonia,57398,57406,3.87,1,NO_ANNOT,,,Exact,0,"Vallonia Risso, 1826",Vallonia,7PKLQ,1,Catalogue of Life,
282,Galapagos,Galapagos,58086,58095,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
283,Bulimulus.,Bulimulus,58160,58170,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
284,Galapagos,Galapagos,59003,59012,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
285,Cleostyla may,Cleostyla may,59708,59721,3.26,2,NO_ANNOT,,,PartialExact,0,"Cleostyla Dall, 1896",Cleostyla,7P22S,1,Catalogue of Life,
286,Pseudachatina,Pseudachatina,59750,59763,4.75,1,NO_ANNOT,,,Exact,0,"Pseudachatina Albers, 1850",Pseudachatina,7PDPP,1,Catalogue of Life,
287,Pachyotus,Pachyotus,59817,59826,5.45,1,NO_ANNOT,,,Exact,0,"Pachyotus Beck, 1837",Pachyotus,urn:lsid:irmng.org:taxname:1406153,181,IRMNG,
288,B. melanioides,B. melanioides,59880,59894,6.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
289,Pachyotus,Pachyotus,60023,60032,5.45,1,NO_ANNOT,,,Exact,0,"Pachyotus Beck, 1837",Pachyotus,urn:lsid:irmng.org:taxname:1406153,181,IRMNG,
290,P. melanioides.,P. melanioides,61072,61087,6.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
291,Limax,Limax,62289,62294,2.73,1,NO_ANNOT,,,Exact,0,"Limax Linnaeus, 1758",Limax,7P7HM,1,Catalogue of Life,
292,Galapagos,Galapagos,63695,63704,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
293,Galapagos,Galapagos,67845,67854,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
294,Bulimuli,Bulimuli,68136,68144,1.80,1,NO_ANNOT,,,Exact,0,Bulimuli,Bulimuli,3872869,168,ION,
295,Galapagos,Galapagos,68152,68161,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
296,Succinea,Succinea,68162,68170,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
297,B. achatellinus,B. achatellinus,68259,68274,7.23,2,NO_ANNOT,,,NoMatch,,,,,,,,
298,Galapagos,Galapagos,68306,68315,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
299,Achatinella,Achatinella,68322,68333,6.49,1,NO_ANNOT,,,Exact,0,"Achatinella Swainson, 1828",Achatinella,7NMQT,1,Catalogue of Life,
300,Bulimuli,Bulimuli,68424,68432,1.80,1,NO_ANNOT,,,Exact,0,Bulimuli,Bulimuli,3872869,168,ION,
301,Galapagos,Galapagos,68453,68462,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
302,Cleostyla,Cleostyla,68867,68876,5.02,1,NO_ANNOT,,,Exact,0,"Cleostyla Dall, 1896",Cleostyla,7P22S,1,Catalogue of Life,
303,Pleuropyrgus,Pleuropyrgus,68877,68889,6.11,1,NO_ANNOT,,,Exact,0,"Pleuropyrgus Martens in Albers, 1860",Pleuropyrgus,urn:lsid:irmng.org:taxname:1397579,181,IRMNG,
304,Achatinella,Achatinella,68890,68901,6.49,1,NO_ANNOT,,,Exact,0,"Achatinella Swainson, 1828",Achatinella,7NMQT,1,Catalogue of Life,
305,Pachyotus,Pachyotus,69198,69207,5.45,1,NO_ANNOT,,,Exact,0,"Pachyotus Beck, 1837",Pachyotus,urn:lsid:irmng.org:taxname:1406153,181,IRMNG,
306,Bulimuli,Bulimuli,69227,69235,1.80,1,NO_ANNOT,,,Exact,0,Bulimuli,Bulimuli,3872869,168,ION,
307,Subtranslucent browns,Subtranslucent browns,70092,70113,0.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
308,Achatinella,Achatinella,70678,70689,6.49,1,NO_ANNOT,,,Exact,0,"Achatinella Swainson, 1828",Achatinella,7NMQT,1,Catalogue of Life,
309,Julis,Julis,71209,71214,3.43,1,NO_ANNOT,,,Exact,0,"Julis Cuvier, 1814",Julis,urn:lsid:marinespecies.org:taxname:206452,9,WoRMS,
310,Bulimuli,Bulimuli,71628,71636,1.80,1,NO_ANNOT,,,Exact,0,Bulimuli,Bulimuli,3872869,168,ION,
311,Galapagos,Galapagos,71657,71666,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
312,A. kauiensis,A. kauiensis,71807,71819,7.17,2,NO_ANNOT,,,NoMatch,,,,,,,,
313,A. sibula plicata,A. sibula plicata,71825,71842,11.65,3,NO_ANNOT,,,NoMatch,,,,,,,,
314,Galapagos,Galapagos,71848,71857,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
315,B. suffiatus pilula,B. suffiatus pilula,71955,71974,6.39,3,NO_ANNOT,,,NoMatch,,,,,,,,
316,B. artemesia.,B. artemesia,71975,71988,5.08,2,NO_ANNOT,,,NoMatch,,,,,,,,
317,Hyalinia,Hyalinia,72188,72196,3.87,1,NO_ANNOT,,,Exact,0,Hyalinia,Hyalinia,4ZDF,1,Catalogue of Life,
318,Conulus,Conulus,72197,72204,5.50,1,NO_ANNOT,,,Exact,0,"Conulus Leske, 1778",Conulus,7P293,1,Catalogue of Life,
319,Leptinaria,Leptinaria,72678,72688,5.02,1,NO_ANNOT,,,Exact,0,"Leptinaria Beck, 1837",Leptinaria,7P77Z,1,Catalogue of Life,
320,Balea,Balea,72689,72694,4.34,1,NO_ANNOT,,,Exact,0,"Balea Gray, 1824",Balea,7NSFF,1,Catalogue of Life,
321,Tachea suhglobosa,Tachea suhglobosa,73028,73045,6.91,2,NO_ANNOT,,,PartialExact,0,"Tachea Fleming, 1822",Tachea,urn:lsid:irmng.org:taxname:1111630,181,IRMNG,
322,H. hortensis,H. hortensis,73131,73143,7.17,2,NO_ANNOT,,,NoMatch,,,,,,,,
323,Galapagos,Galapagos,74270,74279,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
324,Galapagos,Galapagos,74767,74776,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
325,GALAPAGOS,Galapagos,74851,74860,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
326,BULIMULUS,Bulimulus,74876,74885,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
327,Rhaphiellus,Rhaphiellus,74971,74982,6.21,1,NO_ANNOT,,,Exact,0,"Rhaphiellus Pfeiffer, 1855",Rhaphiellus,urn:lsid:irmng.org:taxname:1357169,181,IRMNG,
328,Omphalostyla,Omphalostyla,75161,75173,5.55,1,NO_ANNOT,,,Exact,0,"Omphalostyla Adams, 1855",Omphalostyla,urn:lsid:irmng.org:taxname:1154622,181,IRMNG,
329,Nesiotes,Nesiotes,75258,75266,3.21,1,NO_ANNOT,,,Exact,0,Nesiotes,Nesiotes,63F8S,1,Catalogue of Life,
330,Nesiotus,Nesiotus,75308,75316,5.28,1,NO_ANNOT,,,Exact,0,"Nesiotus Guillebeau, 1896",Nesiotus,608018,2,Wikispecies,
331,Ataxus,Ataxus,75365,75371,3.97,1,NO_ANNOT,,,Exact,0,"Ataxus Albers, 1850",Ataxus,urn:lsid:irmng.org:taxname:1193019,181,IRMNG,
332,Pelecostoma,Pelecostoma,75401,75412,5.40,1,NO_ANNOT,,,Exact,0,"Pelecostoma Reibisch, 1893",Pelecostoma,urn:lsid:irmng.org:taxname:1412896,181,IRMNG,
333,Nesiotes,Nesiotes,75810,75818,3.21,1,NO_ANNOT,,,Exact,0,Nesiotes,Nesiotes,63F8S,1,Catalogue of Life,
334,Bulimus achatellinus,Bulimus achatellinus,76238,76258,12.48,2,NO_ANNOT,,,Exact,0,"Bulimus achatellinus Forbes, 1850",Bulimus achatellinus,7QFXF,1,Catalogue of Life,
335,Bulimus,Bulimus,76299,76306,4.91,1,NO_ANNOT,,,Exact,0,"Bulimus Bruguière, 1789",Bulimus,urn:lsid:marinespecies.org:taxname:549410,9,WoRMS,
336,Buliminus,Buliminus,77426,77435,5.76,1,NO_ANNOT,,,Exact,0,"Buliminus H. Beck, 1837",Buliminus,87FF5,1,Catalogue of Life,
337,Bulimulus,Bulimulus,77448,77457,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
338,Omphalostyla,Omphalostyla,77492,77504,5.55,1,NO_ANNOT,,,Exact,0,"Omphalostyla Adams, 1855",Omphalostyla,urn:lsid:irmng.org:taxname:1154622,181,IRMNG,
