Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
38,Mandibular ramus,Mandibular ramus,24570,24586,0.03,2,NO_ANNOT,,,NoMatch,,,,,,,,
39,Mandibular ramus,Mandibular ramus,24664,24680,0.03,2,NO_ANNOT,,,NoMatch,,,,,,,,
40,Balcenoptera musculus according,Balcenoptera musculus according,25751,25782,11.25,3,NO_ANNOT,,,PartialFuzzy,1,"Balaenoptera musculus (Linnaeus, 1758)",Balaenoptera musculus,KF8T,1,Catalogue of Life,
41,B. musculus,B. musculus,26478,26489,6.64,2,NO_ANNOT,,,NoMatch,,,,,,,,
42,B. duguidii.,B. duguidii,26508,26520,6.19,2,NO_ANNOT,,,NoMatch,,,,,,,,
43,B. sibbaldii,B. sibbaldii,26698,26710,6.36,2,NO_ANNOT,,,NoMatch,,,,,,,,
44,B. musculus,B. musculus,26844,26855,6.64,2,NO_ANNOT,,,NoMatch,,,,,,,,
45,B. musculus,B. musculus,27034,27045,6.64,2,NO_ANNOT,,,NoMatch,,,,,,,,
46,B. sibbaldii.,B. sibbaldii,27050,27063,6.36,2,NO_ANNOT,,,NoMatch,,,,,,,,
47,B. musculus,B. musculus,27178,27189,6.64,2,NO_ANNOT,,,NoMatch,,,,,,,,
48,B. musculus,B. musculus,27355,27366,6.64,2,NO_ANNOT,,,NoMatch,,,,,,,,
49,B. sibbaldii,B. sibbaldii,27707,27719,6.36,2,NO_ANNOT,,,NoMatch,,,,,,,,
50,Balcenoptera musculus,Balcenoptera musculus,27823,27844,12.64,2,NO_ANNOT,,,Fuzzy,1,"Balaenoptera musculus (Linnaeus, 1758)",Balaenoptera musculus,KF8T,1,Catalogue of Life,
51,B. sibbaldii,B. sibbaldii,28008,28020,6.36,2,NO_ANNOT,,,NoMatch,,,,,,,,
