Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
32,Crax,Crax,2305,2309,3.63,1,NO_ANNOT,,,Exact,0,"Crax Linnaeus, 1758",Crax,3VGB,1,Catalogue of Life,
33,Aqiiila chrysaetos.,Aqiiila chrysaetos,2331,2350,1.25,2,NO_ANNOT,,,NoMatch,,,,,,,,
34,Polyborus tharus.,Polyborus tharus,2370,2387,11.75,2,NO_ANNOT,,,Exact,0,Polyborus tharus Barrows 1884,Polyborus tharus,4341908,168,ION,
35,Ahico pratincola.,Ahico pratincola,2397,2414,2.04,2,NO_ANNOT,,,NoMatch,,,,,,,,
36,Scaphiopus holbrooki,Scaphiopus holbrooki,2553,2573,9.80,2,NO_ANNOT,,,Exact,0,Scaphiopus (Scaphiopus) holbrooki (Harlan 1835),Scaphiopus holbrooki,99685,172,PaleoBioDB,
37,Eumeces lineatus.,Eumeces lineatus,2634,2651,10.44,2,NO_ANNOT,,,PartialExact,0,"Eumeces Steindachner, 1870",Eumeces,87FYW,1,Catalogue of Life,
38,Leptecheneis naucrates.,Leptecheneis naucrates,2855,2878,10.48,2,NO_ANNOT,,,Exact,0,"Leptecheneis naucrates (Linnaeus, 1758)",Leptecheneis naucrates,3TJB5,1,Catalogue of Life,
39,Lagocephalus laevigatus.,Lagocephalus laevigatus,2906,2930,14.28,2,NO_ANNOT,,,Exact,0,"Lagocephalus laevigatus (Linnaeus, 1766)",Lagocephalus laevigatus,3RX8R,1,Catalogue of Life,
40,Domitator maculatus,Domitator maculatus,3305,3324,5.46,2,NO_ANNOT,,,Fuzzy,1,"Dormitator maculatus (Bloch, 1792)",Dormitator maculatus,37DQK,1,Catalogue of Life,
41,Insects.,Insects,3349,3357,0.51,1,NO_ANNOT,,,Exact,0,Insects,Insects,3747023,168,ION,
42,Microlepidoptera,Microlepidoptera,3588,3604,4.66,1,NO_ANNOT,,,Exact,0,Microlepidoptera,Microlepidoptera,117600,3,ITIS,
43,Argynnis,Argynnis,3640,3648,5.23,1,NO_ANNOT,,,Exact,0,Argynnis,Argynnis,32PN,1,Catalogue of Life,
44,Serica,Serica,3788,3794,2.78,1,NO_ANNOT,,,Exact,0,"Serica MacLeay, 1819",Serica,7FS7,1,Catalogue of Life,
45,Lepidoptera.,Lepidoptera,3881,3893,3.82,1,NO_ANNOT,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
46,Orthoptera,Orthoptera,4026,4036,5.31,1,NO_ANNOT,,,Exact,0,Orthoptera,Orthoptera,62294,1,Catalogue of Life,
47,Meloids,Meloids,4128,4135,0.87,1,NO_ANNOT,,,Exact,0,Meloids,Meloids,2876728,168,ION,
48,Orthoptera,Orthoptera,4150,4160,5.31,1,NO_ANNOT,,,Exact,0,Orthoptera,Orthoptera,62294,1,Catalogue of Life,
49,Diptera.,Diptera,4174,4182,4.73,1,NO_ANNOT,,,Exact,0,Diptera Borkh.,Diptera,5T8Z6,1,Catalogue of Life,
50,Coleoptera,Coleoptera,4218,4228,3.70,1,NO_ANNOT,,,Exact,0,Coleoptera,Coleoptera,C2L,1,Catalogue of Life,
51,Acrididae,Acrididae,4286,4295,4.28,1,NO_ANNOT,,,Exact,0,Acrididae,Acrididae,5Y5,1,Catalogue of Life,
52,Orthoptera,Orthoptera,4333,4343,5.31,1,NO_ANNOT,,,Exact,0,Orthoptera,Orthoptera,62294,1,Catalogue of Life,
