Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Trigona nigerrima.,Trigona nigerrima,71,89,10.32,2,NO_ANNOT,,,Exact,0,"Trigona nigerrima Cresson, 1879",Trigona nigerrima,58QX4,1,Catalogue of Life,
1,Trigona nigra,Trigona nigra,430,443,8.40,2,NO_ANNOT,,,Exact,0,"Trigona nigra Cresson, 1879",Trigona nigra,58QX5,1,Catalogue of Life,
2,Trigona perilampoides.,Trigona perilampoides,729,751,10.28,2,NO_ANNOT,,,Exact,0,"Trigona perilampoides Cresson, 1879",Trigona perilampoides,58QXZ,1,Catalogue of Life,
3,Trigona thoracica.,Trigona thoracica,1437,1455,11.03,2,NO_ANNOT,,,Exact,0,"Trigona thoracica Smith, 1857",Trigona thoracica,58QZQ,1,Catalogue of Life,
4,Tetrapedia abdominalis.,Tetrapedia abdominalis,1940,1963,11.98,2,NO_ANNOT,,,Exact,0,"Tetrapedia abdominalis Cresson, 1879",Tetrapedia abdominalis,55RBW,1,Catalogue of Life,
5,Bombus,Bombus,3230,3236,3.76,1,NO_ANNOT,,,Exact,0,"Bombus Latreille, 1802",Bombus,62H8K,1,Catalogue of Life,
6,Bombus appositus.,Bombus appositus,4769,4786,11.49,2,NO_ANNOT,,,Exact,0,"Bombus appositus Cresson, 1879",Bombus appositus,MFDT,1,Catalogue of Life,
7,Tlie pubescence,Tlie pubescence,5523,5538,,2,NO_ANNOT,,,NoMatch,,,,,,,,
8,Bombus gelidus.,Bombus gelidus,5952,5967,10.16,2,NO_ANNOT,,,Exact,0,"Bombus gelidus Cresson, 1879",Bombus gelidus,MFK2,1,Catalogue of Life,
9,Bombus,Bombus,6637,6643,3.76,1,NO_ANNOT,,,Exact,0,"Bombus Latreille, 1802",Bombus,62H8K,1,Catalogue of Life,
10,Bombus,Bombus,7690,7696,3.76,1,NO_ANNOT,,,Exact,0,"Bombus Latreille, 1802",Bombus,62H8K,1,Catalogue of Life,
11,Bombus,Bombus,8074,8080,3.76,1,NO_ANNOT,,,Exact,0,"Bombus Latreille, 1802",Bombus,62H8K,1,Catalogue of Life,
12,Bombus,Bombus,8456,8462,3.76,1,NO_ANNOT,,,Exact,0,"Bombus Latreille, 1802",Bombus,62H8K,1,Catalogue of Life,
13,Bombns oregonensis.,Bombns oregonensis,9063,9082,4.50,2,NO_ANNOT,,,Fuzzy,1,"Bombus oregonensis Cresson, 1879",Bombus oregonensis,MFRT,1,Catalogue of Life,
14,Bombus bifarius.,Bombus bifarius,9394,9410,10.60,2,NO_ANNOT,,,Exact,0,"Bombus bifarius Cresson, 1879",Bombus bifarius,68NPY,1,Catalogue of Life,
15,Bombus improbus.,Bombus improbus,10523,10539,9.62,2,NO_ANNOT,,,Exact,0,"Bombus improbus Cresson, 1879",Bombus improbus,MFLD,1,Catalogue of Life,
16,Bombus mixtus.,Bombus mixtus,11161,11175,10.84,2,NO_ANNOT,,,Exact,0,"Bombus mixtus Cresson, 1879",Bombus mixtus,MFPW,1,Catalogue of Life,
17,Bombus,Bombus,12056,12062,3.76,1,NO_ANNOT,,,Exact,0,"Bombus Latreille, 1802",Bombus,62H8K,1,Catalogue of Life,
