Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
40,Awaous,Awaous,1081,1087,2.10,1,NO_ANNOT,,,Exact,0,Awaous,Awaous,36QZ,1,Catalogue of Life,
41,Baculites,Baculites,1104,1113,3.38,1,NO_ANNOT,,,Exact,0,Baculites,Baculites,376L,1,Catalogue of Life,
42,Baileya,Baileya,1118,1125,4.52,1,NO_ANNOT,,,Exact,0,Baileya Harv. & A. Gray ex Torr.,Baileya,62FL6,1,Catalogue of Life,
43,Bairdiella,Bairdiella,1130,1140,6.37,1,NO_ANNOT,,,Exact,0,"Bairdiella Egorova, 1960",Bairdiella,84LQQ,1,Catalogue of Life,
44,Balanus,Balanus,1145,1152,5.34,1,NO_ANNOT,,,Exact,0,Balanus,Balanus,37JS,1,Catalogue of Life,
45,Balistes,Balistes,1161,1169,3.21,1,NO_ANNOT,,,Exact,0,Balistes,Balistes,37ML,1,Catalogue of Life,
46,Bascanion,Bascanion,1196,1205,2.94,1,NO_ANNOT,,,Exact,0,"Bascanion Baird & Girard, 1853",Bascanion,urn:lsid:irmng.org:taxname:1049792,181,IRMNG,
47,Belemnitella,Belemnitella,1251,1263,6.73,1,NO_ANNOT,,,Exact,0,Belemnitella,Belemnitella,3984,1,Catalogue of Life,
48,Belemnites,Belemnites,1268,1278,3.55,1,NO_ANNOT,,,Exact,0,Belemnites,Belemnites,3985,1,Catalogue of Life,
49,Bellis,Bellis,1303,1309,3.58,1,NO_ANNOT,,,Exact,0,Bellis L.,Bellis,62GFJ,1,Catalogue of Life,
50,Belone,Belone,1314,1320,2.85,1,NO_ANNOT,,,Exact,0,Belone,Belone,39CC,1,Catalogue of Life,
51,Bembidula,Bembidula,1327,1336,5.01,1,NO_ANNOT,,,Exact,0,"Bembidula Burmeister, 1874",Bembidula,62GHD,1,Catalogue of Life,
52,Bigelovia,Bigelovia,1355,1364,4.48,1,NO_ANNOT,,,Exact,0,Bigelovia Spreng.,Bigelovia,5T6M7,1,Catalogue of Life,
53,Blarina,Blarina,1411,1418,3.72,1,NO_ANNOT,,,Exact,0,"Blarina Gray, 1838",Blarina,62FSY,1,Catalogue of Life,
54,Bodianus,Bodianus,1459,1467,5.59,1,NO_ANNOT,,,Exact,0,Bodianus,Bodianus,62HFQ,1,Catalogue of Life,
55,Boleophthalmus,Boleophthalmus,1472,1486,6.16,1,NO_ANNOT,,,Exact,0,Boleophthalmus,Boleophthalmus,3B82,1,Catalogue of Life,
56,Bostrichthys,Bostrichthys,1514,1526,5.85,1,NO_ANNOT,,,Exact,0,"Bostrichthys Duméril, 1806",Bostrichthys,urn:lsid:irmng.org:taxname:1356009,181,IRMNG,
57,Bostrychus,Bostrychus,1530,1540,4.99,1,NO_ANNOT,,,Exact,0,Bostrychus,Bostrychus,87DPS,1,Catalogue of Life,
58,Bothynostethus,Bothynostethus,1547,1561,5.66,1,NO_ANNOT,,,Exact,0,"Bothynostethus Kohl, 1884",Bothynostethus,3BW8,1,Catalogue of Life,
59,Botroclonium,Botroclonium,1566,1578,5.81,1,NO_ANNOT,,,Exact,0,"Botroclonium Pobcta, 1883",Botroclonium,urn:lsid:irmng.org:taxname:1116347,181,IRMNG,
60,Brachydeuterus,Brachydeuterus,1583,1597,6.27,1,NO_ANNOT,,,Exact,0,Brachydeuterus,Brachydeuterus,3CC3,1,Catalogue of Life,
61,Brachygenys,Brachygenys,1602,1613,4.57,1,NO_ANNOT,,,Exact,0,"Brachygenys Poey, 1868",Brachygenys,urn:lsid:irmng.org:taxname:1414655,181,IRMNG,
62,Buchiola,Buchiola,1618,1626,5.51,1,NO_ANNOT,,,Exact,0,"Buchiola Barrande, 1881",Buchiola,urn:lsid:irmng.org:taxname:1432956,181,IRMNG,
63,Bulimulus,Bulimulus,1646,1655,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
64,Cadoceras,Cadoceras,1664,1673,4.74,1,NO_ANNOT,,,Exact,0,Cadoceras,Cadoceras,62K4R,1,Catalogue of Life,
65,Cadulus,Cadulus,1678,1685,5.50,1,NO_ANNOT,,,Exact,0,"Cadulus Philippi, 1844",Cadulus,7NRFS,1,Catalogue of Life,
66,Calicurgus,Calicurgus,1721,1731,5.75,1,NO_ANNOT,,,Exact,0,Calicurgus,Calicurgus,3F87,1,Catalogue of Life,
67,Callisaurus,Callisaurus,1771,1782,5.72,1,NO_ANNOT,,,Exact,0,Callisaurus,Callisaurus,3FJV,1,Catalogue of Life,
68,Calyculina,Calyculina,1787,1797,4.30,1,NO_ANNOT,,,Exact,0,"Calyculina Clessin, 1872",Calyculina,urn:lsid:irmng.org:taxname:1412350,181,IRMNG,
69,Calymene,Calymene,1802,1810,3.77,1,NO_ANNOT,,,Exact,0,Calymene,Calymene,3G5C,1,Catalogue of Life,
70,Camarophoria,Camarophoria,1834,1846,5.37,1,NO_ANNOT,,,Exact,0,"Camarophoria Herrmannsen, 1846",Camarophoria,urn:lsid:irmng.org:taxname:1151314,181,IRMNG,
71,Canis,Canis,1866,1871,4.54,1,NO_ANNOT,,,Exact,0,"Canis Linnaeus, 1758",Canis,3GTH,1,Catalogue of Life,
72,Carassius,Carassius,1923,1932,4.98,1,NO_ANNOT,,,Exact,0,Carassius,Carassius,62KFJ,1,Catalogue of Life,
73,Carcharias,Carcharias,1936,1946,5.67,1,NO_ANNOT,,,Exact,0,Carcharias,Carcharias,3HC6,1,Catalogue of Life,
74,Cardioceras,Cardioceras,1950,1961,5.03,1,NO_ANNOT,,,Exact,0,Cardioceras,Cardioceras,62KH5,1,Catalogue of Life,
75,Cardium,Cardium,1966,1973,4.86,1,NO_ANNOT,,,Exact,0,"Cardium Linnaeus, 1758",Cardium,7NRX7,1,Catalogue of Life,
76,Carya,Carya,1991,1996,3.83,1,NO_ANNOT,,,Exact,0,Carya Nutt.,Carya,3HXZ,1,Catalogue of Life,
77,Centaurea,Centaurea,2029,2038,4.47,1,NO_ANNOT,,,Exact,0,Centaurea L.,Centaurea,3K5Z,1,Catalogue of Life,
78,Centris,Centris,2043,2050,4.64,1,NO_ANNOT,,,Exact,0,"Centris Fabricius, 1804",Centris,3K7N,1,Catalogue of Life,
79,Centropomidae,Centropomidae,2055,2068,4.90,1,NO_ANNOT,,,Exact,0,Centropomidae,Centropomidae,7V6,1,Catalogue of Life,
80,Centropomus,Centropomus,2073,2084,5.62,1,NO_ANNOT,,,Exact,0,Centropomus,Centropomus,62JV5,1,Catalogue of Life,
81,Centropristis,Centropristis,2089,2102,6.43,1,NO_ANNOT,,,Exact,0,Centropristis,Centropristis,62K6T,1,Catalogue of Life,
82,Centurio,Centurio,2111,2119,3.51,1,NO_ANNOT,,,Exact,0,"Centurio Gray, 1842",Centurio,3KC9,1,Catalogue of Life,
83,Cephalacanthus,Cephalacanthus,2144,2158,5.66,1,NO_ANNOT,,,Exact,0,Cephalacanthus Lindau,Cephalacanthus,3KCM,1,Catalogue of Life,
84,Cepola,Cepola,2163,2169,4.97,1,NO_ANNOT,,,Exact,0,Cepola,Cepola,3KKJ,1,Catalogue of Life,
85,Cepolis,Cepolis,2186,2193,3.87,1,NO_ANNOT,,,Exact,0,"Cepolis Montfort, 1810",Cepolis,7NZXH,1,Catalogue of Life,
86,Ceratina,Ceratina,2197,2205,3.96,1,NO_ANNOT,,,Exact,0,"Ceratina Latreille, 1802",Ceratina,3KPT,1,Catalogue of Life,
87,Cerion,Cerion,2224,2230,2.23,1,NO_ANNOT,,,Exact,0,"Cerion Röding, 1798",Cerion,7NSCC,1,Catalogue of Life,
88,Ceropales,Ceropales,2241,2250,3.33,1,NO_ANNOT,,,Exact,0,Ceropales,Ceropales,3L7H,1,Catalogue of Life,
89,Cervus,Cervus,2255,2261,3.75,1,NO_ANNOT,,,Exact,0,"Cervus Linnaeus, 1758",Cervus,62K9X,1,Catalogue of Life,
90,Cetengraulis,Cetengraulis,2269,2281,4.82,1,NO_ANNOT,,,Exact,0,Cetengraulis,Cetengraulis,3LBW,1,Catalogue of Life,
91,Channa,Channa,2370,2376,3.27,1,NO_ANNOT,,,Exact,0,Channa,Channa,3M54,1,Catalogue of Life,
92,Chanodichthys,Chanodichthys,2380,2393,5.94,1,NO_ANNOT,,,Exact,0,Chanodichthys,Chanodichthys,62LRV,1,Catalogue of Life,
93,Chatoessus,Chatoessus,2397,2407,4.48,1,NO_ANNOT,,,Exact,0,"Chatoessus Cuvier, 1829",Chatoessus,urn:lsid:irmng.org:taxname:1010979,181,IRMNG,
94,Chilomycterus,Chilomycterus,2411,2424,6.05,1,NO_ANNOT,,,Exact,0,Chilomycterus,Chilomycterus,3N43,1,Catalogue of Life,
95,Chilopsis,Chilopsis,2429,2438,4.94,1,NO_ANNOT,,,Exact,0,Chilopsis D. Don,Chilopsis,3N4N,1,Catalogue of Life,
96,Chlarias,Chlarias,2472,2480,5.33,1,NO_ANNOT,,,Exact,0,"Chlarias Scopoli, 1777",Chlarias,urn:lsid:irmng.org:taxname:1302744,181,IRMNG,
97,Chlorichthys,Chlorichthys,2484,2496,5.85,1,NO_ANNOT,,,Exact,0,"Chlorichthys Swainson, 1839",Chlorichthys,613051,3,ITIS,
98,Chlorion,Chlorion,2501,2509,2.77,1,NO_ANNOT,,,Exact,0,"Chlorion Latreille, 1802",Chlorion,3NL9,1,Catalogue of Life,
99,Chloroscombrus,Chloroscombrus,2527,2541,6.27,1,NO_ANNOT,,,Exact,0,Chloroscombrus,Chloroscombrus,3NS5,1,Catalogue of Life,
100,Chonetes,Chonetes,2560,2568,3.21,1,NO_ANNOT,,,Exact,0,"Chonetes Whitfield, 1905",Chonetes,urn:lsid:irmng.org:taxname:1280394,181,IRMNG,
101,Chromis,Chromis,2577,2584,5.03,1,NO_ANNOT,,,Exact,0,Chromis,Chromis,3PB2,1,Catalogue of Life,
102,Chrysophrys,Chrysophrys,2624,2635,5.48,1,NO_ANNOT,,,Exact,0,"Chrysophrys Quoy & Gaimard, 1824",Chrysophrys,102093,2,Wikispecies,
103,Chrysopsis,Chrysopsis,2639,2649,5.11,1,NO_ANNOT,,,Exact,0,Chrysopsis (Nutt.) Elliott,Chrysopsis,62LNS,1,Catalogue of Life,
104,Cirsium,Cirsium,2654,2661,4.86,1,NO_ANNOT,,,Exact,0,Cirsium Mill.,Cirsium,3Q7P,1,Catalogue of Life,
105,Clarias,Clarias,2677,2684,5.08,1,NO_ANNOT,,,Exact,0,Clarias,Clarias,3QH6,1,Catalogue of Life,
106,Clinus,Clinus,2699,2705,5.05,1,NO_ANNOT,,,Exact,0,Clinus,Clinus,3R36,1,Catalogue of Life,
107,Clupanodon,Clupanodon,2710,2720,4.35,1,NO_ANNOT,,,Exact,0,Clupanodon,Clupanodon,3R8F,1,Catalogue of Life,
108,Cnemidophorus,Cnemidophorus,2761,2774,6.05,1,NO_ANNOT,,,Exact,0,"Cnemidophorus Zeller, 1867",Cnemidophorus,62KY8,1,Catalogue of Life,
109,Cobitis,Cobitis,2792,2799,5.39,1,NO_ANNOT,,,Exact,0,Cobitis,Cobitis,3RJL,1,Catalogue of Life,
110,Coilia,Coilia,2803,2809,3.85,1,NO_ANNOT,,,Exact,0,Coilia,Coilia,3S4F,1,Catalogue of Life,
111,Coleonyx,Coleonyx,2813,2821,4.29,1,NO_ANNOT,,,Exact,0,Coleonyx,Coleonyx,3S84,1,Catalogue of Life,
112,Collichthys,Collichthys,2836,2847,5.62,1,NO_ANNOT,,,Exact,0,Collichthys,Collichthys,3SC8,1,Catalogue of Life,
113,Concinnum,Concinnum,2883,2892,4.96,1,NO_ANNOT,,,Exact,0,"Concinnum Bhalerao, 1936",Concinnum,urn:lsid:irmng.org:taxname:1011094,181,IRMNG,
114,Condylura,Condylura,2897,2906,5.48,1,NO_ANNOT,,,Exact,0,"Condylura Illiger, 1811",Condylura,3T3T,1,Catalogue of Life,
115,Congrus,Congrus,2914,2921,5.01,1,NO_ANNOT,,,Exact,0,"Congrus Richardson, 1848",Congrus,urn:lsid:irmng.org:taxname:1274402,181,IRMNG,
116,Conocardium,Conocardium,2925,2936,5.57,1,NO_ANNOT,,,Exact,0,"Conocardium Bronn, 1834",Conocardium,7P27Q,1,Catalogue of Life,
117,Conodon,Conodon,2941,2948,3.76,1,NO_ANNOT,,,Exact,0,Conodon,Conodon,3TCF,1,Catalogue of Life,
118,Cosmoceras,Cosmoceras,2987,2997,4.90,1,NO_ANNOT,,,Exact,0,"Cosmoceras Waagen, 1870",Cosmoceras,urn:lsid:irmng.org:taxname:1282610,181,IRMNG,
119,Cornus,Cornus,3002,3008,5.05,1,NO_ANNOT,,,Exact,0,Cornus,Cornus,62MBV,1,Catalogue of Life,
120,Corvina,Corvina,3037,3044,3.72,1,NO_ANNOT,,,Exact,0,Corvina Steud.,Corvina,12471-1,167,IPNI,
121,Crabro,Crabro,3071,3077,3.27,1,NO_ANNOT,,,Exact,0,"Crabro Fabricius, 1775",Crabro,3V4L,1,Catalogue of Life,
122,Crassatella,Crassatella,3086,3097,6.49,1,NO_ANNOT,,,Exact,0,"Crassatella Lamarck, 1799",Crassatella,7NTQH,1,Catalogue of Life,
123,Crotaphytus,Crotaphytus,3102,3113,5.74,1,NO_ANNOT,,,Exact,0,"Crotaphytus Baird & Girard, 1852",Crotaphytus,87F9X,1,Catalogue of Life,
124,Cryptochiton,Cryptochiton,3131,3143,3.70,1,NO_ANNOT,,,Exact,0,"Cryptochiton Middendorff, 1847",Cryptochiton,7NTVX,1,Catalogue of Life,
125,Ctenosaura,Ctenosaura,3168,3178,5.65,1,NO_ANNOT,,,Exact,0,"Iguana (Ctenosaura) Gray, 1831 (In Cuvier; Edit. Griffith)",Ctenosaura,8H5Y4,1,Catalogue of Life,
126,Culius,Culius,3183,3189,4.27,1,NO_ANNOT,,,Exact,0,"Culius Bleeker, 1856",Culius,urn:lsid:marinespecies.org:taxname:296444,9,WoRMS,
127,Cyathophyllum,Cyathophyllum,3206,3219,6.48,1,NO_ANNOT,,,Exact,0,"Cyathophyllum Goldfuss, 1826",Cyathophyllum,urn:lsid:marinespecies.org:taxname:1416315,9,WoRMS,
128,Cybium,Cybium,3224,3230,4.57,1,NO_ANNOT,,,Exact,0,"Cybium Cuvier, 1829",Cybium,urn:lsid:marinespecies.org:taxname:296446,9,WoRMS,
129,Cyclas,Cyclas,3234,3240,2.79,1,NO_ANNOT,,,Exact,0,Cyclas Schreb.,Cyclas,22161-1,167,IPNI,
130,Cymbidium,Cymbidium,3249,3258,5.28,1,NO_ANNOT,,,Exact,0,Cymbidium,Cymbidium,3YG4,1,Catalogue of Life,
131,Cymbium,Cymbium,3263,3270,4.86,1,NO_ANNOT,,,Exact,0,"Cymbium Röding, 1798",Cymbium,7P2PK,1,Catalogue of Life,
132,Cynoglossus,Cynoglossus,3275,3286,4.60,1,NO_ANNOT,,,Exact,0,Cynoglossus,Cynoglossus,3YKK,1,Catalogue of Life,
133,Cynoscion,Cynoscion,3293,3302,2.94,1,NO_ANNOT,,,Exact,0,Cynoscion,Cynoscion,3YLD,1,Catalogue of Life,
134,Cyprina,Cyprina,3349,3356,3.72,1,NO_ANNOT,,,Exact,0,"Cyprina Lamarck, 1818",Cyprina,urn:lsid:irmng.org:taxname:1349201,181,IRMNG,
135,Cyprinidae,Cyprinidae,3361,3371,4.45,1,NO_ANNOT,,,Exact,0,Cyprinidae,Cyprinidae,6248Q,1,Catalogue of Life,
136,Cyprinus,Cyprinus,3375,3383,5.59,1,NO_ANNOT,,,Exact,0,Cyprinus,Cyprinus,3YTB,1,Catalogue of Life,
137,Cyrthia,Cyrthia,3387,3394,4.00,1,NO_ANNOT,,,Exact,0,"Cyrthia Buch, 1835",Cyrthia,urn:lsid:irmng.org:taxname:1385992,181,IRMNG,
138,Dardania,Dardania,3416,3424,3.87,1,NO_ANNOT,,,Exact,0,Dardania,Dardania,62Q6N,1,Catalogue of Life,
139,Dasyatis,Dasyatis,3446,3454,5.64,1,NO_ANNOT,,,Exact,0,Dasyatis,Dasyatis,3ZY5,1,Catalogue of Life,
140,Decapterus,Decapterus,3464,3474,5.60,1,NO_ANNOT,,,Exact,0,Decapterus,Decapterus,42BN,1,Catalogue of Life,
141,Dentex,Dentex,3508,3514,3.57,1,NO_ANNOT,,,Exact,0,Dentex,Dentex,438P,1,Catalogue of Life,
142,Diabasis,Diabasis,3530,3538,4.77,1,NO_ANNOT,,,Exact,0,"Diabasis Burmeister, 1844",Diabasis,43YG,1,Catalogue of Life,
143,Diapterus,Diapterus,3566,3575,5.43,1,NO_ANNOT,,,Exact,0,Diapterus,Diapterus,62PCZ,1,Catalogue of Life,
144,Diodon,Diodon,3620,3626,3.47,1,NO_ANNOT,,,Exact,0,Diodon,Diodon,45VQ,1,Catalogue of Life,
145,Diodontus,Diodontus,3647,3656,5.45,1,NO_ANNOT,,,Exact,0,"Diodontus Curtis, 1834",Diodontus,45VY,1,Catalogue of Life,
146,Dipogon,Dipogon,3686,3693,3.50,1,NO_ANNOT,,,Exact,0,Dipogon,Dipogon,84N8R,1,Catalogue of Life,
147,Ditrupa,Ditrupa,3723,3730,3.57,1,NO_ANNOT,,,Exact,0,"Ditrupa Berkeley, 1835",Ditrupa,84N9H,1,Catalogue of Life,
