Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,APLYSIA,Aplysia,27,34,3.64,1,NO_ANNOT,,,Exact,0,"Aplysia Linnaeus, 1767",Aplysia,7NPDX,1,Catalogue of Life,
1,TETHYS.,Tethys,39,46,4.61,1,NO_ANNOT,,,Exact,0,"Tethys Linnaeus, 1767",Tethys,7PJ8S,1,Catalogue of Life,
2,Tethys,Tethys,333,339,4.61,1,NO_ANNOT,,,Exact,0,"Tethys Linnaeus, 1767",Tethys,7PJ8S,1,Catalogue of Life,
3,Tethys,Tethys,495,501,4.61,1,NO_ANNOT,,,Exact,0,"Tethys Linnaeus, 1767",Tethys,7PJ8S,1,Catalogue of Life,
4,Tethys,Tethys,570,576,4.61,1,NO_ANNOT,,,Exact,0,"Tethys Linnaeus, 1767",Tethys,7PJ8S,1,Catalogue of Life,
5,Laplysia,Laplysia,644,652,3.89,1,NO_ANNOT,,,Exact,0,"Laplysia Linnaeus, 1767",Laplysia,urn:lsid:irmng.org:taxname:1370725,181,IRMNG,
6,Tethys.,Tethys,710,717,4.61,1,NO_ANNOT,,,Exact,0,"Tethys Linnaeus, 1767",Tethys,7PJ8S,1,Catalogue of Life,
7,Tethys,Tethys,1388,1394,4.61,1,NO_ANNOT,,,Exact,0,"Tethys Linnaeus, 1767",Tethys,7PJ8S,1,Catalogue of Life,
8,Tethys.,Tethys,1494,1501,4.61,1,NO_ANNOT,,,Exact,0,"Tethys Linnaeus, 1767",Tethys,7PJ8S,1,Catalogue of Life,
9,T. auriculis quatuor.,T. auriculis quatuor,1634,1655,5.00,3,NO_ANNOT,,,NoMatch,,,,,,,,
10,Tethys,Tethys,1811,1817,4.61,1,NO_ANNOT,,,Exact,0,"Tethys Linnaeus, 1767",Tethys,7PJ8S,1,Catalogue of Life,
11,Aplysia,Aplysia,1825,1832,3.64,1,NO_ANNOT,,,Exact,0,"Aplysia Linnaeus, 1767",Aplysia,7NPDX,1,Catalogue of Life,
12,Tethys,Tethys,1858,1864,4.61,1,NO_ANNOT,,,Exact,0,"Tethys Linnaeus, 1767",Tethys,7PJ8S,1,Catalogue of Life,
13,Aplysia,Aplysia,2726,2733,3.64,1,NO_ANNOT,,,Exact,0,"Aplysia Linnaeus, 1767",Aplysia,7NPDX,1,Catalogue of Life,
14,A. fasciata,A. fasciata,2756,2767,7.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
15,Lepori␤marini alia,Lepori marini alia,3798,3816,6.21,3,NO_ANNOT,,,NoMatch,,,,,,,,
16,Aclesia.,Aclesia,3875,3883,3.64,1,NO_ANNOT,,,Exact,0,"Aclesia Rang, 1828",Aclesia,urn:lsid:irmng.org:taxname:1391620,181,IRMNG,
17,Columna,Columna,3899,3906,4.34,1,NO_ANNOT,,,Exact,0,"Columna Perry, 1811",Columna,7P262,1,Catalogue of Life,
