Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Umbrina valida,Umbrina valida,499,513,10.09,2,NO_ANNOT,,,Exact,0,"Umbrina valida Jordan & Gunn, 1898",Umbrina valida,7DGDF,1,Catalogue of Life,
1,Blennius canariensis,Blennius canariensis,669,689,12.74,2,NO_ANNOT,,,Exact,0,"Blennius canariensis Jordan & Gunn, 1898",Blennius canariensis,M596,1,Catalogue of Life,
2,Mustelus canis,Mustelus canis,748,762,11.77,2,NO_ANNOT,,,Exact,0,"Mustelus canis (Mitchill, 1815)",Mustelus canis,44QZX,1,Catalogue of Life,
3,Centrophorus granulosus,Centrophorus granulosus,806,829,13.17,2,NO_ANNOT,,,Exact,0,"Centrophorus granulosus (Bloch & Schneider, 1801)",Centrophorus granulosus,69HMP,1,Catalogue of Life,
4,Raja clavata,Raja clavata,881,893,8.65,2,NO_ANNOT,,,Exact,0,"Raja clavata Linnaeus, 1758",Raja clavata,793MV,1,Catalogue of Life,
5,Dasyatis pastinacea,Dasyatis pastinacea,1143,1162,12.43,2,NO_ANNOT,,,Fuzzy,2,"Dasyatis pastinacus (Linnaeus, 1758)",Dasyatis pastinacus,347CZ,1,Catalogue of Life,
6,Leptocephalus conger,Leptocephalus conger,1200,1220,7.69,2,NO_ANNOT,,,Exact,0,"Leptocephalus conger Eigenmann, 1902",Leptocephalus conger,3TKNM,1,Catalogue of Life,
7,Muraena augusti,Muraena augusti,1437,1452,6.79,2,NO_ANNOT,,,Exact,0,"Muraena augusti (Kaup, 1856)",Muraena augusti,44L27,1,Catalogue of Life,
8,Kaup.,Kaup,1453,1458,0.47,1,NO_ANNOT,,,Exact,0,Oileus (Kaup) Kaup 1869,Kaup,1105544,2,Wikispecies,
9,Muraena helena,Muraena helena,1652,1666,7.41,2,NO_ANNOT,,,Exact,0,"Muraena helena Linnaeus, 1758",Muraena helena,44L3Q,1,Catalogue of Life,
10,Muraena melanotis,Muraena melanotis,1694,1711,11.81,2,NO_ANNOT,,,Exact,0,"Muraena melanotis (Kaup, 1859)",Muraena melanotis,44L4N,1,Catalogue of Life,
11,Kaup.,Kaup,1712,1717,0.47,1,NO_ANNOT,,,Exact,0,Oileus (Kaup) Kaup 1869,Kaup,1105544,2,Wikispecies,
12,Lycodontis vicinus,Lycodontis vicinus,1736,1754,12.87,2,NO_ANNOT,,,Exact,0,"Lycodontis vicinus (Castelnau, 1855)",Lycodontis vicinus,3WL73,1,Catalogue of Life,
13,Clupanodon maderensis,Clupanodon maderensis,2072,2093,11.97,2,NO_ANNOT,,,PartialExact,0,Clupanodon,Clupanodon,3R8F,1,Catalogue of Life,
