Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
38,H. crossei,H. crossei,7377,7387,4.72,2,NO_ANNOT,,,NoMatch,,,,,,,,
39,Holospira goldfussi.,Holospira goldfussi,7803,7823,10.59,2,NO_ANNOT,,,Exact,0,"Holospira goldfussi (Menke, 1847)",Holospira goldfussi,6M9NR,1,Catalogue of Life,
40,H. ferrissi.,H. ferrissi,7828,7840,5.31,2,NO_ANNOT,,,NoMatch,,,,,,,,
41,H. chiricahuana.,H. chiricahuana,7845,7861,7.08,2,NO_ANNOT,,,NoMatch,,,,,,,,
42,Holospira ferrissi,Holospira ferrissi,7878,7896,10.43,2,SP_NOV,,,Exact,0,"Holospira ferrissi Pilsbry, 1905",Holospira ferrissi,7RPG3,1,Catalogue of Life,
43,Huachuca,Huachuca,9133,9141,3.48,1,NO_ANNOT,,,Exact,0,"Huachuca Pate, 1938",Huachuca,4Z37,1,Catalogue of Life,
44,H. arizonensis,H. arizonensis,9332,9346,7.60,2,NO_ANNOT,,,NoMatch,,,,,,,,
45,H. ferrissi,H. ferrissi,9451,9462,5.31,2,NO_ANNOT,,,NoMatch,,,,,,,,
46,H. arizonensis,H. arizonensis,9519,9533,7.60,2,NO_ANNOT,,,NoMatch,,,,,,,,
47,H. ferrissi,H. ferrissi,9663,9674,5.31,2,NO_ANNOT,,,NoMatch,,,,,,,,
48,Holospira,Holospira,9936,9945,4.78,1,NO_ANNOT,,,Exact,0,"Holospira E. von Martens, 1860",Holospira,7P5DZ,1,Catalogue of Life,
49,Eudistemma,Eudistemma,9964,9974,5.58,1,NO_ANNOT,,,Exact,0,"Eudistemma Dall, 1895",Eudistemma,urn:lsid:irmng.org:taxname:1125403,181,IRMNG,
50,Holospira arizonensis,Holospira arizonensis,10099,10120,12.71,2,NO_ANNOT,,,Exact,0,"Holospira arizonensis Stearns, 1890",Holospira arizonensis,7RPFP,1,Catalogue of Life,
51,H. ferrissi,H. ferrissi,10536,10547,5.31,2,NO_ANNOT,,,NoMatch,,,,,,,,
52,H. cionella,H. cionella,10552,10563,6.62,2,NO_ANNOT,,,NoMatch,,,,,,,,
53,Holospira cionella,Holospira cionella,10752,10770,11.73,2,NO_ANNOT,,,Exact,0,"Holospira cionella Pilsbry, 1905",Holospira cionella,7RPFW,1,Catalogue of Life,
54,H. mearnsi cockerelli,H. mearnsi cockerelli,11619,11640,9.28,3,NO_ANNOT,,,NoMatch,,,,,,,,
55,Holospira crossei,Holospira crossei,11659,11676,9.83,2,NO_ANNOT,,,Exact,0,"Holospira crossei Dall, 1895",Holospira crossei,7RPFY,1,Catalogue of Life,
56,H. cockerelli,H. cockerelli,11735,11748,6.17,2,NO_ANNOT,,,NoMatch,,,,,,,,
57,H. mearnsi,H. mearnsi,12126,12136,5.26,2,NO_ANNOT,,,NoMatch,,,,,,,,
58,H. bilamellata.,H. bilamellata,12141,12156,7.99,2,NO_ANNOT,,,NoMatch,,,,,,,,
59,Holospira mearnsi,Holospira mearnsi,12264,12281,10.38,2,NO_ANNOT,,,Fuzzy,1,"Holospira (Haplostemma) mearnsii Dall, 1895",Holospira mearnsii,7RPDZ,1,Catalogue of Life,
60,H. cockerelli,H. cockerelli,12511,12524,6.17,2,NO_ANNOT,,,NoMatch,,,,,,,,
61,H. regis.,H. regis,12529,12538,3.92,2,NO_ANNOT,,,NoMatch,,,,,,,,
62,H. crossei,H. crossei,12634,12644,4.72,2,NO_ANNOT,,,NoMatch,,,,,,,,
63,Holospira regis,Holospira regis,12694,12709,9.03,2,SP_NOV,,,Exact,0,"Holospira regis Pilsbry & Cockerell in Pilsbry, 1905",Holospira regis,7RPGB,1,Catalogue of Life,
64,H. chiricahuana,H. chiricahuana,13941,13956,7.08,2,NO_ANNOT,,,NoMatch,,,,,,,,
65,H. mearnsi,H. mearnsi,14110,14120,5.26,2,NO_ANNOT,,,NoMatch,,,,,,,,
66,H. regis,H. regis,14257,14265,3.92,2,NO_ANNOT,,,NoMatch,,,,,,,,
67,Holospira cockerelli,Holospira cockerelli,14318,14338,11.28,2,NO_ANNOT,,,Exact,0,"Holospira cockerelli Dall, 1897",Holospira cockerelli,7RPFX,1,Catalogue of Life,
68,Holospira,Holospira,14362,14371,4.78,1,NO_ANNOT,,,Exact,0,"Holospira E. von Martens, 1860",Holospira,7P5DZ,1,Catalogue of Life,
69,Haplosiemma cockerelli,Haplosiemma cockerelli,14372,14394,5.90,2,NO_ANNOT,,,NoMatch,,,,,,,,
70,Mesilla,Mesilla,15428,15435,5.79,1,NO_ANNOT,,,Exact,0,Mesilla,Mesilla,5PLJ,1,Catalogue of Life,
71,H. cockerelli,H. cockerelli,15585,15598,6.17,2,NO_ANNOT,,,NoMatch,,,,,,,,
72,H. regis,H. regis,15624,15632,3.92,2,NO_ANNOT,,,NoMatch,,,,,,,,
73,H. mearnsi,H. mearnsi,15637,15647,5.26,2,NO_ANNOT,,,NoMatch,,,,,,,,
74,Holospira chiricahuana,Holospira chiricahuana,15876,15898,12.19,2,NO_ANNOT,,,Exact,0,"Holospira chiricahuana Pilsbry, 1905",Holospira chiricahuana,7RPFS,1,Catalogue of Life,
75,H. mearnsi,H. mearnsi,16962,16972,5.26,2,NO_ANNOT,,,NoMatch,,,,,,,,
76,H. cockerelli,H. cockerelli,17015,17028,6.17,2,NO_ANNOT,,,NoMatch,,,,,,,,
77,H. chiricahuana,H. chiricahuana,17197,17212,7.08,2,NO_ANNOT,,,NoMatch,,,,,,,,
