Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
34,Nerita undata,Nerita undata,3252,3265,11.44,2,NO_ANNOT,,,Exact,0,"Nerita undata Linnaeus, 1758",Nerita undata,475MW,1,Catalogue of Life,
35,Liotia voyi,Liotia voyi,3348,3359,8.48,2,NO_ANNOT,,,Exact,0,"Liotia voyi Pilsbry & Vanatta, 1905",Liotia voyi,6QH6D,1,Catalogue of Life,
36,Turbo argyrostomus,Turbo argyrostomus,3378,3396,9.66,2,NO_ANNOT,,,Exact,0,"Turbo argyrostomus Linnaeus, 1758",Turbo argyrostomus,59MYB,1,Catalogue of Life,
37,Astmlium petrosum,Astmlium petrosum,3407,3424,5.59,2,NO_ANNOT,,,NoMatch,,,,,,,,
38,Truncatella valida,Truncatella valida,3436,3454,12.87,2,NO_ANNOT,,,Exact,0,"Truncatella valida L. Pfeiffer, 1846",Truncatella valida,7D8SY,1,Catalogue of Life,
39,Melampus luteus,Melampus luteus,3463,3478,12.01,2,NO_ANNOT,,,Exact,0,"Melampus luteus (Quoy & Gaimard, 1832)",Melampus luteus,3Z593,1,Catalogue of Life,
40,Pinna semicostata,Pinna semicostata,3492,3509,10.08,2,NO_ANNOT,,,Exact,0,"Pinna semicostata Conrad, 1837",Pinna semicostata,77LL3,1,Catalogue of Life,
41,Tellina dispar,Tellina dispar,3518,3532,8.19,2,NO_ANNOT,,,Exact,0,"Tellina dispar Conrad, 1837",Tellina dispar,557GX,1,Catalogue of Life,
42,Crista pectinata,Crista pectinata,3560,3576,9.64,2,NO_ANNOT,,,Exact,0,"Crista pectinata (Linnaeus, 1758)",Crista pectinata,7QVQL,1,Catalogue of Life,
43,Trapezium oblongum,Trapezium oblongum,3583,3601,9.33,2,NO_ANNOT,,,Exact,0,"Trapezium oblongum (Linnaeus, 1758)",Trapezium oblongum,57Y5N,1,Catalogue of Life,
44,Tridac7ia gigas,Tridac�ia gigas,3631,3646,1.82,2,NO_ANNOT,,,NoMatch,,,,,,,,
45,Liotia voyi,Liotia voyi,3797,3808,8.48,2,SP_NOV,,,Exact,0,"Liotia voyi Pilsbry & Vanatta, 1905",Liotia voyi,6QH6D,1,Catalogue of Life,
46,Liotia,Liotia,4990,4996,4.58,1,NO_ANNOT,,,Exact,0,"Liotia Gray, 1842",Liotia,7P7MK,1,Catalogue of Life,
47,L. crenata,L. crenata,5011,5021,7.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
48,L. voyi,L. voyi,5105,5112,3.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
49,"L. voyi,",L. voyi,5366,5374,3.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
50,L. crenata.,L. crenata,5398,5409,7.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
51,L. crenata,L. crenata,5410,5420,7.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
52,Delphintda crenata,Delphintda crenata,5620,5638,4.99,2,NO_ANNOT,,,NoMatch,,,,,,,,
