Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
150,Idotea bicuspida,Idotea bicuspida,40820,40836,11.44,2,NO_ANNOT,,,Exact,0,"Idotea bicuspida Owen, 1839",Idotea bicuspida,6N5D8,1,Catalogue of Life,
151,S. bicuspida,S. bicuspida,41093,41105,6.69,2,NO_ANNOT,,,NoMatch,,,,,,,,
152,Synidotea,Synidotea,41528,41537,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
153,"Synidotea laticauda,",Synidotea laticauda,41650,41670,11.08,2,NO_ANNOT,,,Exact,0,"Synidotea laticauda Benedict, 1897",Synidotea laticauda,7B8KV,1,Catalogue of Life,
154,Synidotea,Synidotea,41713,41722,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
155,Synidotea laticauda,Synidotea laticauda,42194,42213,11.08,2,NO_ANNOT,,,Exact,0,"Synidotea laticauda Benedict, 1897",Synidotea laticauda,7B8KV,1,Catalogue of Life,
156,"Synidotea nebulosa,",Synidotea nebulosa,43728,43747,12.44,2,NO_ANNOT,,,Exact,0,"Synidotea nebulosa Benedict, 1897",Synidotea nebulosa,7B9XJ,1,Catalogue of Life,
157,Synidotea nebulosa,Synidotea nebulosa,44362,44380,12.44,2,NO_ANNOT,,,Exact,0,"Synidotea nebulosa Benedict, 1897",Synidotea nebulosa,7B9XJ,1,Catalogue of Life,
158,"S. picta,",S. picta,45040,45049,5.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
159,Kyska,Kyska,45140,45145,1.19,1,NO_ANNOT,,,Exact,0,"Kyska Shoemaker, 1964",Kyska,7P7YR,1,Catalogue of Life,
160,"Synidotea angulata,",Synidotea angulata,45799,45818,12.87,2,NO_ANNOT,,,Exact,0,"Synidotea angulata Benedict, 1897",Synidotea angulata,53X96,1,Catalogue of Life,
161,S. nebulosa.,S. nebulosa,46042,46054,6.97,2,NO_ANNOT,,,NoMatch,,,,,,,,
162,Synidotea angulata,Synidotea angulata,46545,46563,12.87,2,NO_ANNOT,,,Exact,0,"Synidotea angulata Benedict, 1897",Synidotea angulata,53X96,1,Catalogue of Life,
163,"Synidotea pallida,",Synidotea pallida,47355,47373,11.79,2,NO_ANNOT,,,Exact,0,"Synidotea pallida Benedict, 1897",Synidotea pallida,7B9XY,1,Catalogue of Life,
164,Synidotea pallida,Synidotea pallida,48448,48465,11.79,2,NO_ANNOT,,,Exact,0,"Synidotea pallida Benedict, 1897",Synidotea pallida,7B9XY,1,Catalogue of Life,
165,"Synidotea erosa,",Synidotea erosa,49255,49271,11.44,2,NO_ANNOT,,,Exact,0,"Synidotea erosa Benedict, 1897",Synidotea erosa,53X9K,1,Catalogue of Life,
166,Erosa,Erosa,49473,49478,3.92,1,NO_ANNOT,,,Exact,0,Erosa,Erosa,6342S,1,Catalogue of Life,
167,S. pallida,S. pallida,49505,49515,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
168,S. pallida,S. pallida,49869,49879,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
169,Synidotea erosa,Synidotea erosa,50496,50511,11.44,2,NO_ANNOT,,,Exact,0,"Synidotea erosa Benedict, 1897",Synidotea erosa,53X9K,1,Catalogue of Life,
170,Synidotea nodulosa,Synidotea nodulosa,51596,51614,12.44,2,NO_ANNOT,,,Exact,0,"Synidotea nodulosa (Krøyer, 1846)",Synidotea nodulosa,7B9XW,1,Catalogue of Life,
171,"Synidotea laevis,",Synidotea laevis,54213,54230,10.94,2,NO_ANNOT,,,Exact,0,"Synidotea laevis Benedict, 1897",Synidotea laevis,7B8KW,1,Catalogue of Life,
172,S. nodulosa,S. nodulosa,54440,54451,6.97,2,NO_ANNOT,,,NoMatch,,,,,,,,
173,Synidotea laevis,Synidotea laevis,55100,55116,10.94,2,NO_ANNOT,,,Exact,0,"Synidotea laevis Benedict, 1897",Synidotea laevis,7B8KW,1,Catalogue of Life,
174,Synidotea muricata,Synidotea muricata,55191,55209,12.87,2,NO_ANNOT,,,Exact,0,"Synidotea muricata (Harford, 1877)",Synidotea muricata,7B9XK,1,Catalogue of Life,
175,Hotcea muricata,Hotcea muricata,55230,55245,5.70,2,NO_ANNOT,,,NoMatch,,,,,,,,
176,Synidotea muricata,Synidotea muricata,57049,57067,12.87,2,NO_ANNOT,,,Exact,0,"Synidotea muricata (Harford, 1877)",Synidotea muricata,7B9XK,1,Catalogue of Life,
177,Synidotea picta,Synidotea picta,57103,57118,10.79,2,NO_ANNOT,,,Exact,0,"Synidotea picta Benedict, 1897",Synidotea picta,7B9XS,1,Catalogue of Life,
178,"Synidotea picta,",Synidotea picta,57134,57150,10.79,2,NO_ANNOT,,,Exact,0,"Synidotea picta Benedict, 1897",Synidotea picta,7B9XS,1,Catalogue of Life,
179,S. nebulosa,S. nebulosa,58743,58754,6.97,2,NO_ANNOT,,,NoMatch,,,,,,,,
180,"Synidotea picta,",Synidotea picta,58877,58893,10.79,2,NO_ANNOT,,,Exact,0,"Synidotea picta Benedict, 1897",Synidotea picta,7B9XS,1,Catalogue of Life,
181,"Synidotea harfordi,",Synidotea harfordi,59423,59442,11.08,2,NO_ANNOT,,,Exact,0,"Synidotea harfordi Benedict, 1897",Synidotea harfordi,53X9T,1,Catalogue of Life,
182,Synidotea harfordi,Synidotea harfordi,60829,60847,11.08,2,NO_ANNOT,,,Exact,0,"Synidotea harfordi Benedict, 1897",Synidotea harfordi,53X9T,1,Catalogue of Life,
183,Synidotea hirtipes,Synidotea hirtipes,60874,60892,11.25,2,NO_ANNOT,,,Exact,0,"Synidotea hirtipes (Milne Edwards, 1840)",Synidotea hirtipes,53X9V,1,Catalogue of Life,
184,Idotea hirtipes,Idotea hirtipes,60910,60925,10.54,2,NO_ANNOT,,,Exact,0,"Idotea hirtipes Dana, 1853",Idotea hirtipes,6MTCQ,1,Catalogue of Life,
185,Edotia hirtipes,Edotia hirtipes,61028,61043,10.70,2,NO_ANNOT,,,Exact,0,Edotia hirtipes (M.-Edw. ),Edotia hirtipes,4071043,168,ION,
186,Synidotea lsevidorsalis,Synidotea lsevidorsalis,62557,62580,7.75,2,NO_ANNOT,,,Fuzzy,1,"Synidotea laevidorsalis (Miers, 1881)",Synidotea laevidorsalis,7B8KZ,1,Catalogue of Life,
187,"Edotia hirtipes,",Edotia hirtipes,62590,62606,10.70,2,NO_ANNOT,,,Exact,0,Edotia hirtipes (M.-Edw. ),Edotia hirtipes,4071043,168,ION,
188,I. hirtipes,I. hirtipes,62977,62988,5.79,2,NO_ANNOT,,,NoMatch,,,,,,,,
189,I. hirtipes,I. hirtipes,63181,63192,5.79,2,NO_ANNOT,,,NoMatch,,,,,,,,
