Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
39,GASTRODONTA,Gastrodonta,11838,11849,3.92,1,NO_ANNOT,,,Exact,0,"Gastrodonta Albers, 1850",Gastrodonta,7P37X,1,Catalogue of Life,
40,Gastrodonta,Gastrodonta,11865,11876,3.92,1,NO_ANNOT,,,Exact,0,"Gastrodonta Albers, 1850",Gastrodonta,7P37X,1,Catalogue of Life,
41,Gastrodonta,Gastrodonta,11912,11923,3.92,1,NO_ANNOT,,,Exact,0,"Gastrodonta Albers, 1850",Gastrodonta,7P37X,1,Catalogue of Life,
42,H. interna,H. interna,11955,11965,4.72,2,NO_ANNOT,,,NoMatch,,,,,,,,
43,Z. nltidus,Z. nltidus,12027,12037,6.06,2,NO_ANNOT,,,NoMatch,,,,,,,,
44,G. ligera,G. ligera,12402,12411,5.95,2,NO_ANNOT,,,NoMatch,,,,,,,,
45,"Omphalina,",Omphalina,13151,13161,4.13,1,NO_ANNOT,,,Exact,0,Omphalina,Omphalina,684D,1,Catalogue of Life,
46,G. suppressa,G. suppressa,13282,13294,6.08,2,NO_ANNOT,,,NoMatch,,,,,,,,
47,G. ligera,G. ligera,13659,13668,5.95,2,NO_ANNOT,,,NoMatch,,,,,,,,
48,PYRAMIDULA,Pyramidula,14003,14013,5.17,1,NO_ANNOT,,,Exact,0,"Pyramidula Fitzinger, 1833",Pyramidula,7P75B,1,Catalogue of Life,
49,P. alternata,P. alternata,14154,14166,7.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
50,P. striatella,P. striatella,14366,14379,6.90,2,NO_ANNOT,,,NoMatch,,,,,,,,
51,"Contilus,",Contilus,14470,14479,5.75,1,NO_ANNOT,,,Exact,0,"Contilus Agassiz, 1842",Contilus,urn:lsid:irmng.org:taxname:1397299,181,IRMNG,
52,"Microcystis,",Microcystis,14480,14492,6.10,1,NO_ANNOT,,,Exact,0,"Microcystis Lemmermann, 1907",Microcystis,5RQG,1,Catalogue of Life,
53,P. perspectiva,P. perspectiva,14577,14591,5.90,2,NO_ANNOT,,,NoMatch,,,,,,,,
54,P. lineata,P. lineata,14807,14817,7.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
55,POLYGYRA,Polygyra,14923,14931,4.77,1,NO_ANNOT,,,Exact,0,"Polygyra Say, 1818",Polygyra,7PD3F,1,Catalogue of Life,
56,Triodopsis,Triodopsis,15013,15023,5.11,1,NO_ANNOT,,,Exact,0,"Triodopsis Rafinesque, 1819",Triodopsis,7PJXQ,1,Catalogue of Life,
57,Neohelix,Neohelix,15043,15051,4.66,1,NO_ANNOT,,,Exact,0,"Neohelix Ihering, 1892",Neohelix,7P9MZ,1,Catalogue of Life,
58,P. hirsuta,P. hirsuta,15070,15080,5.82,2,NO_ANNOT,,,NoMatch,,,,,,,,
59,P. monodon,P. monodon,15546,15556,5.02,2,NO_ANNOT,,,NoMatch,,,,,,,,
60,P. thyroides,P. thyroides,15998,16010,5.99,2,NO_ANNOT,,,NoMatch,,,,,,,,
61,P. albolabris,P. albolabris,16384,16397,7.02,2,NO_ANNOT,,,NoMatch,,,,,,,,
62,P. palliata,P. palliata,17213,17224,7.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
63,P. tridentata,P. tridentata,17453,17466,7.68,2,NO_ANNOT,,,NoMatch,,,,,,,,
64,P. fraudidenta.,P. fraudidenta,17675,17690,6.45,2,NO_ANNOT,,,NoMatch,,,,,,,,
65,P. tridentata juxtidens,P. tridentata juxtidens,18245,18268,12.82,3,NO_ANNOT,,,NoMatch,,,,,,,,
66,Triodopsis,Triodopsis,18461,18471,5.11,1,NO_ANNOT,,,Exact,0,"Triodopsis Rafinesque, 1819",Triodopsis,7PJXQ,1,Catalogue of Life,
67,P. tridentata fraudulenta,P. tridentata fraudulenta,19525,19550,12.57,3,NO_ANNOT,,,NoMatch,,,,,,,,
68,P. tridentata.,P. tridentata,19722,19736,7.68,2,NO_ANNOT,,,NoMatch,,,,,,,,
69,Triodopsid fallax,Triodopsid fallax,20510,20527,1.44,2,NO_ANNOT,,,Fuzzy,1,"Triodopsis fallax (Say, 1825)",Triodopsis fallax,7TDQ2,1,Catalogue of Life,
70,H. fallax,H. fallax,20662,20671,3.66,2,NO_ANNOT,,,NoMatch,,,,,,,,
71,P. fraudulenta.,P. fraudulenta,20815,20830,6.45,2,NO_ANNOT,,,NoMatch,,,,,,,,
72,"H. fallax,",H. fallax,20831,20841,3.66,2,NO_ANNOT,,,NoMatch,,,,,,,,
73,P. fallax,P. fallax,21644,21653,3.66,2,NO_ANNOT,,,NoMatch,,,,,,,,
74,Helix fallax,Helix fallax,21867,21879,6.59,2,NO_ANNOT,,,Exact,0,"Helix fallax Say, 1825",Helix fallax,7RLDL,1,Catalogue of Life,
75,P. introferens,P. introferens,22168,22182,6.52,2,NO_ANNOT,,,NoMatch,,,,,,,,
76,STROBILOPS,Strobilops,23607,23617,4.57,1,NO_ANNOT,,,Exact,0,"Strobilops Pilsbry, 1893",Strobilops,7PHMD,1,Catalogue of Life,
77,PHILOMYCUS,Philomycus,23714,23724,6.34,1,NO_ANNOT,,,Exact,0,"Philomycus Rafinesque, 1820",Philomycus,7PCFQ,1,Catalogue of Life,
78,P. carolinensis,P. carolinensis,23737,23752,7.49,2,NO_ANNOT,,,NoMatch,,,,,,,,
79,P. pennsylvanicus,P. pennsylvanicus,23953,23970,7.24,2,NO_ANNOT,,,NoMatch,,,,,,,,
80,LEUCOCHILA,Leucochila,24337,24347,4.33,1,NO_ANNOT,,,Exact,0,"Leucochila Martens in Albers, 1860",Leucochila,urn:lsid:irmng.org:taxname:1367111,181,IRMNG,
81,L. fallax,L. fallax,24357,24366,3.66,2,NO_ANNOT,,,NoMatch,,,,,,,,
82,Bifidaria,Bifidaria,24487,24496,4.85,1,NO_ANNOT,,,Exact,0,"Bifidaria Pilsbry, 1891",Bifidaria,urn:lsid:irmng.org:taxname:1307956,181,IRMNG,
83,P. armifera,P. armifera,24505,24516,6.43,2,NO_ANNOT,,,NoMatch,,,,,,,,
84,Vertigopsis,Vertigopsis,24579,24590,5.23,1,NO_ANNOT,,,Exact,0,"Vertigopsis Sterki, 1892",Vertigopsis,urn:lsid:irmng.org:taxname:1190808,181,IRMNG,
85,P. pentodon,P. pentodon,24599,24610,5.22,2,NO_ANNOT,,,NoMatch,,,,,,,,
86,V. ovata,V. ovata,24692,24700,6.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
87,V. edentula simplex,V. edentula simplex,24757,24776,7.37,3,NO_ANNOT,,,NoMatch,,,,,,,,
88,SUCCINEA,Succinea,24871,24879,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
89,Draparnaud.,Draparnaud,24880,24891,2.14,1,NO_ANNOT,,,Exact,0,Draparnaud,Draparnaud,4258418,168,ION,
90,S. obliqua,S. obliqua,24892,24902,4.90,2,NO_ANNOT,,,NoMatch,,,,,,,,
91,S. avara,S. avara,24961,24969,4.39,2,NO_ANNOT,,,NoMatch,,,,,,,,
92,S. ovalis,S. ovalis,25012,25021,6.32,2,NO_ANNOT,,,NoMatch,,,,,,,,
93,L. desidiosa,L. desidiosa,25180,25192,7.14,2,NO_ANNOT,,,NoMatch,,,,,,,,
94,L. caperata,L. caperata,25382,25393,7.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
95,PLANORBIS,Planorbis,25439,25448,4.83,1,NO_ANNOT,,,Exact,0,"Planorbis O. F. Müller, 1773",Planorbis,7PCRT,1,Catalogue of Life,
96,P. trivolvis,P. trivolvis,25455,25467,6.12,2,NO_ANNOT,,,NoMatch,,,,,,,,
97,P. bicarinatus,P. bicarinatus,25548,25562,7.81,2,NO_ANNOT,,,NoMatch,,,,,,,,
98,Fhijsa heterostropha,Fhijsa heterostropha,26171,26191,3.14,2,NO_ANNOT,,,NoMatch,,,,,,,,
99,P. parvus,P. parvus,26224,26233,5.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
100,ANCYLUS,Ancylus,26366,26373,5.50,1,NO_ANNOT,,,Exact,0,"Ancylus O. F. Müller, 1773",Ancylus,87D9W,1,Catalogue of Life,
101,A. rivularis,A. rivularis,26381,26393,6.90,2,NO_ANNOT,,,NoMatch,,,,,,,,
102,PHYSA,Physa,26565,26570,3.83,1,NO_ANNOT,,,Exact,0,"Physa Draparnaud, 1801",Physa,7PCJZ,1,Catalogue of Life,
103,P. heterostropha,P. heterostropha,26577,26593,6.24,2,NO_ANNOT,,,NoMatch,,,,,,,,
104,CAMPELOMA,Campeloma,27421,27430,5.11,1,NO_ANNOT,,,Exact,0,"Campeloma Rafinesque, 1819",Campeloma,7NRRC,1,Catalogue of Life,
105,C. decisum,C. decisum,27443,27453,6.26,2,NO_ANNOT,,,NoMatch,,,,,,,,
106,Lioplax subcariiiata.,Lioplax subcariiiata,27629,27650,6.96,2,NO_ANNOT,,,PartialExact,0,"Lioplax Troschel, 1857",Lioplax,7P7MD,1,Catalogue of Life,
107,AMNICOLA,Amnicola,27677,27685,5.51,1,NO_ANNOT,,,Exact,0,"Amnicola Gould & Haldeman, 1840",Amnicola,7NNTZ,1,Catalogue of Life,
108,A. limosa,A. limosa,27694,27703,6.49,2,NO_ANNOT,,,NoMatch,,,,,,,,
