Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
10,Notes,Notes,1952,1957,2.52,1,NO_ANNOT,"the, older, American, Rocks, �","on, Mesozoic, Cockroaches, �, Btejneger",Exact,0,Notes,Notes,3950760,168,ION,
11,Lanius robustus,Lanius robustus,2020,2035,11.83,2,NO_ANNOT,"�, Btejneger, Leonhard, Uemarks, on","Baird, based, on, an, examination",Exact,0,Lanius robustus,Lanius robustus,333329,183,Sherborn Index Animalium,
12,Colias,Colias,2135,2141,4.79,1,NO_ANNOT,"Eermann, Description, of, a, new","from, the, Rocky, Mountains, and",Exact,0,Colias,Colias,3S9M,1,Catalogue of Life,
13,Samia,Samia,2208,2213,3.93,1,NO_ANNOT,"an, Example, of, I�olymelianism, in","Cecropia, �, Description, of, new",Exact,0,Samia,Samia,7C3J,1,Catalogue of Life,
14,Cecropia,Cecropia,2216,2224,5.13,1,NO_ANNOT,"Example, of, I�olymelianism, in, Samia","�, Description, of, new, Species",Exact,0,Cecropia Loefl.,Cecropia,3JWC,1,Catalogue of Life,
15,Lepidoptera,Lepidoptera,2260,2271,3.82,1,NO_ANNOT,"Description, of, new, Species, of","�, -ninth, Charles, and, Prank",Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
16,Palaeo- ␤crinoidea.,Palaeocrinoidea,2331,2350,4.68,1,NO_ANNOT,"Prank, Springer, Revision, of, the","Pari, Iii., Discussion, of, the",Exact,0,Palaeocrinoidea Wachsmuth,Palaeocrinoidea,4320024,168,ION,
17,"Semotilus,""",Semotilus,2767,2778,5.92,1,NO_ANNOT,"the, Species, of, the, Genus","by, Ernest, P., Bicknell, and",Exact,0,Semotilus,Semotilus,7FHQ,1,Catalogue of Life,
18,"Junco ␤hyemalis,",Junco hyemalis,3224,3240,8.49,2,NO_ANNOT,"carcass, of, a, Snow, Bird","in, which, he, reported, a",Exact,0,"Junco hyemalis (Linnaeus, 1758)",Junco hyemalis,6NFHF,1,Catalogue of Life,
19,Filaria obtusa,Filaria obtusa,3832,3846,8.85,2,NO_ANNOT,"worms, appear, to, be, the","Rudolphi, wdiich, infests, the, Hirundo",Exact,0,Filaria obtusa,Filaria obtusa,280487,183,Sherborn Index Animalium,
20,"Hirundo rvstica,",Hirundo rvstica,3877,3893,5.31,2,NO_ANNOT,"obtusa, Rudolphi, wdiich, infests, the","and, other, species, of, European",Fuzzy,1,"Hirundo rustica Linnaeus, 1758",Hirundo rustica,3M4S7,1,Catalogue of Life,
21,"F. obtusa,",F. obtusa,4071,4081,5.46,2,NO_ANNOT,"agree, with, the, descriptions, of","as, given, by, Diesing, and",NoMatch,,,,,,,,
22,"Helminthes,",Helminthes,4170,4181,3.05,1,NO_ANNOT,"given, by, the, latter, Hist","pi, iii, except, that, it",Exact,0,Helminthes Guerro & Rojas 1969,Helminthes,4364259,168,ION,
23,"Filaria ␤obtusa,",Filaria obtusa,4725,4741,8.85,2,NO_ANNOT,"specimens, apparently, also, pertaining, to","Dr., Warren, obtained, from, the",Exact,0,Filaria obtusa,Filaria obtusa,280487,183,Sherborn Index Animalium,
24,Sturnella magna.,Sturnella magna,4836,4852,10.75,2,NO_ANNOT,"wall, of, a, Meadow, Lark","Two, are, females, �, and",Exact,0,"Sturnella magna (Linnaeus, 1758)",Sturnella magna,537YX,1,Catalogue of Life,
25,Filaria physalura,Filaria physalura,5112,5129,9.43,2,NO_ANNOT,"species, appears, to, be, the","of, Bremser, described, from, specimens",Exact,0,Filaria physalura,Filaria physalura,3721190,168,ION,
26,Gallinaqo,Gallinaqo,5995,6004,3.58,1,NO_ANNOT,"cavity, of, a, Gray, Snipe","Wilsoni, Dr., Warren, obtained, five",NoMatch,,,,,,,,
27,"Antrostomus vociferus,",Antrostomus vociferus,6142,6164,12.58,2,NO_ANNOT,"Mono�tomum, mutabile, Prom, a, Whippoorwill","Dr., Warren, obtained, four, worms",Exact,0,"Antrostomus vociferus (A. Wilson, 1812)",Antrostomus vociferus,F4NC,1,Catalogue of Life,
28,Ascaris subulata.,Ascaris subulata,6266,6283,12.38,2,NO_ANNOT,"mm, which, appear, to, be","From, the, Pileated, Woodpecker, Hylotomus",Exact,0,Ascaris subulata,Ascaris subulata,54540,183,Sherborn Index Animalium,
29,"Hylotomus pileatus,",Hylotomus pileatus,6319,6338,12.88,2,NO_ANNOT,"subulata, From, the, Pileated, Woodpecker","Dr., Warren, obtained, ten, worms",Exact,0,Hylotomus pileatus,Hylotomus pileatus,gn_221519,186,MCZbase,
30,Spiroptera ␤quadriloba,Spiroptera quadriloba,6404,6426,11.38,2,NO_ANNOT,"appear, to, pertain, to, the","Rudolphi, the, female, of, which",Exact,0,Spiroptera quadriloba,Spiroptera quadriloba,325569,183,Sherborn Index Animalium,
31,Picus viridis.,Picus viridis,6529,6543,11.69,2,NO_ANNOT,"found, in, the, Green, Woodpecker","The, specimens, are, reported, as",Exact,0,"Picus viridis Linnaeus, 1758",Picus viridis,4HR3F,1,Catalogue of Life,
32,Umbra limi,Umbra limi,7736,7746,6.40,2,NO_ANNOT,"is, the, coloration, The, true","is, dull, olive-green, in, color",Exact,0,"Umbra limi (Kirtland, 1840)",Umbra limi,7DGKQ,1,Catalogue of Life,
33,"Umbra limi pygmaea),",Umbra limi pygmaea,8021,8041,10.50,3,NO_ANNOT,"as, a, geographical, subspecies, �","is, much, darker, in, color",Exact,0,"Umbra limi pygmaea (DeKay, 1842)",Umbra limi pygmaea,162152,3,ITIS,
34,Umbra limi.,Umbra limi,8401,8412,6.40,2,NO_ANNOT,"the, two, forms, �, �","Hydrargyra, limi, Kirtland, Bost, Journ",Exact,0,"Umbra limi (Kirtland, 1840)",Umbra limi,7DGKQ,1,Catalogue of Life,
35,Hydrargyra limi,Hydrargyra limi,8415,8430,8.71,2,NO_ANNOT,"forms, �, �, Umbra, limi","Kirtland, Bost, Journ, Nat., Hist",Fuzzy,1,"Hydrargira limi Kirtland, 1840",Hydrargira limi,3N4JB,1,Catalogue of Life,
36,Melanura limi,Melanura limi,8501,8514,8.92,2,NO_ANNOT,"iii, �, �, Northern, Ohio","Agassiz, Amer, Journ, Sci., Arts",Exact,0,Melanura limi,Melanura limi,gn_33482,186,MCZbase,
37,Melanura limi).,Melanura limi,9289,9304,8.92,2,NO_ANNOT,"ii, �, H, Food, of","Umbra, limi, Giinther, Cat., Fish",Exact,0,Melanura limi,Melanura limi,gn_33482,186,MCZbase,
38,Umbra limi,Umbra limi,9307,9317,6.40,2,NO_ANNOT,"H, Food, of, Melanura, limi","Giinther, Cat., Fish, Brit, Mus",Exact,0,"Umbra limi (Kirtland, 1840)",Umbra limi,7DGKQ,1,Catalogue of Life,
39,Laporte,Laporte,9423,9430,3.87,1,NO_ANNOT,"Sci., Philad, �, �, Lakes","Co, Ind, St., Joseph�s, R",NoMatch,,,,,,,,
40,Hydrargyra fusca,Hydrargyra fusca,9604,9620,10.17,2,NO_ANNOT,"Fish, N., A, �, �","Thompson, Nat., Hist, Vt, �",Exact,0,Hydrargyra fusca Thompson 1842,Hydrargyra fusca,141070413,151,Catalog of Fishes,
41,Hydrargyra atricauda,Hydrargyra atricauda,9680,9700,11.06,2,NO_ANNOT,"Vt, �, �, Lake, Champlain","De, Kay, New, York, Fauna",Exact,0,Hydrargyra atricauda DeKay 1842,Hydrargyra atricauda,141070412,151,Catalog of Fishes,
42,Umbra limi,Umbra limi,9764,9774,6.40,2,NO_ANNOT,"Fishes, �, �, Lake, Champlain","pygmaea-leuciscus, pygmceas, De, Kay, N.",Exact,0,"Umbra limi (Kirtland, 1840)",Umbra limi,7DGKQ,1,Catalogue of Life,
43,Melanura pygmcea,Melanura pygmcea,9878,9894,11.63,2,NO_ANNOT,"Tappan, Rockland, Co, N., Y","Baird, Ninth, Smithson, Rept, �",Fuzzy,1,Melanura pygmaea,Melanura pygmaea,gn_125902,186,MCZbase,
44,Umbra pygmcea,Umbra pygmcea,10151,10164,5.01,2,NO_ANNOT,"�, James, R, Neuse, R","Bean, Mss, Jordan, Bull, U.",Fuzzy,1,"Umbra pygmaea (DeKay, 1842)",Umbra pygmaea,7DGKY,1,Catalogue of Life,
45,Fundulus fuscus,Fundulus fuscus,10372,10387,12.27,2,NO_ANNOT,"�, �, Kingston, N., C","Ayres, Bost, Journ, Nat., Hist",Exact,0,Fundulus fuscus Ayres 1843,Fundulus fuscus,141063646,151,Catalog of Fishes,
46,Melanura annulata,Melanura annulata,10465,10482,13.05,2,NO_ANNOT,"�, Brook, Haven, Long, Island","Agassiz, Amer, Journ, Sci., Arts",Exact,0,"Melanura annulata Agassiz, 1853",Melanura annulata,162151,3,ITIS,
47,Exoglossum annulatum,Exoglossum annulatum,10533,10553,12.93,2,NO_ANNOT,"Sci., Arts, �, �, not",Rafinesque,Exact,0,"Exoglossum annulatum Rafinesque, 1818",Exoglossum annulatum,6HN7B,1,Catalogue of Life,
