Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,DIAULULA,Diaulula,94,102,4.84,1,NO_ANNOT,,,Exact,0,"Diaulula Bergh, 1878",Diaulula,7NWCF,1,Catalogue of Life,
1,Tentacula digitiformia.,Tentacula digitiformia,351,374,3.73,2,NO_ANNOT,,,NoMatch,,,,,,,,
2,Apertura branchialis rotundata,Apertura branchialis rotundata,375,405,11.04,3,NO_ANNOT,,,NoMatch,,,,,,,,
3,Aimatura labialis nulla.,Aimatura labialis nulla,503,527,7.15,3,NO_ANNOT,,,NoMatch,,,,,,,,
4,Prostata magua  penis,Prostata magua penis,589,610,3.76,3,NO_ANNOT,,,NoMatch,,,,,,,,
5,Diaulus medicus,Diaulus medicus,1596,1611,8.82,2,NO_ANNOT,,,PartialExact,0,"Diaulus Ashmead, 1904",Diaulus,urn:lsid:irmng.org:taxname:1316882,181,IRMNG,
6,Martialis,Martialis,1616,1625,4.29,1,NO_ANNOT,,,Exact,0,"Martialis Rabeling & Verhaagh, 2008",Martialis,211659,2,Wikispecies,
7,Thordisa.,Thordisa,1730,1739,4.51,1,NO_ANNOT,,,Exact,0,"Thordisa Bergh, 1877",Thordisa,7PJGG,1,Catalogue of Life,
8,Pacificum,Pacificum,2003,2012,4.08,1,NO_ANNOT,,,Exact,0,Solanum ser. Pacificum Whalen,Pacificum,44633-1,167,IPNI,
9,JORUNNA,Jorunna,14590,14597,3.57,1,NO_ANNOT,,,Exact,0,"Jorunna Bergh, 1876",Jorunna,7P65Z,1,Catalogue of Life,
10,Jorunna,Jorunna,14605,14612,3.57,1,NO_ANNOT,,,Exact,0,"Jorunna Bergh, 1876",Jorunna,7P65Z,1,Catalogue of Life,
11,Armatura labialis nulla.,Armatura labialis nulla,14954,14978,5.44,3,NO_ANNOT,,,NoMatch,,,,,,,,
12,Jorunna,Jorunna,16516,16523,3.57,1,NO_ANNOT,,,Exact,0,"Jorunna Bergh, 1876",Jorunna,7P65Z,1,Catalogue of Life,
13,Bjornis filia.,Bjornis filia,16524,16538,4.73,2,NO_ANNOT,,,NoMatch,,,,,,,,
14,Asteronotus,Asteronotus,16709,16720,5.74,1,NO_ANNOT,,,Exact,0,"Asteronotus Ehrenberg, 1831",Asteronotus,7NRHX,1,Catalogue of Life,
15,Jorunna,Jorunna,17091,17098,3.57,1,NO_ANNOT,,,Exact,0,"Jorunna Bergh, 1876",Jorunna,7P65Z,1,Catalogue of Life,
16,Doris tomentosa,Doris tomentosa,17490,17505,10.30,2,NO_ANNOT,,,Exact,0,"Doris tomentosa Cuvier, 1804",Doris tomentosa,6DH25,1,Catalogue of Life,
17,Doris tomentosa,Doris tomentosa,17591,17606,10.30,2,NO_ANNOT,,,Exact,0,"Doris tomentosa Cuvier, 1804",Doris tomentosa,6DH25,1,Catalogue of Life,
18,Doris tomentosa,Doris tomentosa,17686,17701,10.30,2,NO_ANNOT,,,Exact,0,"Doris tomentosa Cuvier, 1804",Doris tomentosa,6DH25,1,Catalogue of Life,
19,Color flavescens dorso,Color flavescens dorso,17773,17795,0.49,3,NO_ANNOT,,,NoMatch,,,,,,,,
20,D. ohvelata,D. ohvelata,17987,17998,7.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
21,Asteronotus,Asteronotus,18495,18506,5.74,1,NO_ANNOT,,,Exact,0,"Asteronotus Ehrenberg, 1831",Asteronotus,7NRHX,1,Catalogue of Life,
22,D. tomentosa,D. tomentosa,18685,18697,7.14,2,NO_ANNOT,,,NoMatch,,,,,,,,
23,Asteronotus,Asteronotus,23759,23770,5.74,1,NO_ANNOT,,,Exact,0,"Asteronotus Ehrenberg, 1831",Asteronotus,7NRHX,1,Catalogue of Life,
24,Akiodoris,Akiodoris,29670,29679,5.06,1,NO_ANNOT,,,Exact,0,"Akiodoris Bergh, 1879",Akiodoris,7NNDJ,1,Catalogue of Life,
25,Goniodoris,Goniodoris,29714,29724,5.22,1,NO_ANNOT,,,Exact,0,"Goniodoris Forbes & Goodsir, 1839",Goniodoris,7P44N,1,Catalogue of Life,
26,Doridunculus',Doridunculus,29729,29742,6.45,1,NO_ANNOT,,,Exact,0,"Doridunculus G.O. Sars, 1878",Doridunculus,7NXF4,1,Catalogue of Life,
27,Ancula,Ancula,29748,29754,4.29,1,NO_ANNOT,,,Exact,0,"Ancula Lovén, 1846",Ancula,7NP37,1,Catalogue of Life,
28,Drepania,Drepania,29755,29763,3.87,1,NO_ANNOT,,,Exact,0,Drepania Juss.,Drepania,5T95Y,1,Catalogue of Life,
29,Idalia.,Idalia,29768,29775,3.85,1,NO_ANNOT,,,Exact,0,Idalia Raf.,Idalia,5TB7R,1,Catalogue of Life,
30,AKIODORIS,Akiodoris,29776,29785,5.06,1,NO_ANNOT,,,Exact,0,"Akiodoris Bergh, 1879",Akiodoris,7NNDJ,1,Catalogue of Life,
31,Akiodoris,Akiodoris,29792,29801,5.06,1,NO_ANNOT,,,Exact,0,"Akiodoris Bergh, 1879",Akiodoris,7NNDJ,1,Catalogue of Life,
32,Nothseum supra granulosum.,Nothseum supra granulosum,29885,29911,3.11,3,NO_ANNOT,,,NoMatch,,,,,,,,
33,Caput latum,Caput latum,30011,30022,1.04,2,NO_ANNOT,,,NoMatch,,,,,,,,
