Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Polyplacophora,Polyplacophora,602,616,5.29,1,NO_ANNOT,,,Exact,0,"Polyplacophora Gray, 1821",Polyplacophora,7NF4T,1,Catalogue of Life,
1,Challenger',Challenger,898,909,1.69,1,NO_ANNOT,,,Exact,0,Challenger i Man 1911,Challenger,3547646,168,ION,
2,Polyplacophora,Polyplacophora,1073,1087,5.29,1,NO_ANNOT,,,Exact,0,"Polyplacophora Gray, 1821",Polyplacophora,7NF4T,1,Catalogue of Life,
3,Microplax,Microplax,1456,1465,4.18,1,NO_ANNOT,,,Exact,0,Microplax,Microplax,5S8Y,1,Catalogue of Life,
4,Challenger,Challenger,1834,1844,1.69,1,NO_ANNOT,,,Exact,0,Challenger i Man 1911,Challenger,3547646,168,ION,
5,Lophyrus australis,Lophyrus australis,1953,1971,12.56,2,NO_ANNOT,,,PartialExact,0,"Lophyrus Duméril & Bibron, 1837",Lophyrus,87GN4,1,Catalogue of Life,
6,Lepidopleurus proteus,Lepidopleurus proteus,2023,2044,9.12,2,NO_ANNOT,,,PartialExact,0,"Lepidopleurus Risso, 1826",Lepidopleurus,7P775,1,Catalogue of Life,
7,Tonicia,Tonicia,2085,2092,5.30,1,NO_ANNOT,,,Exact,0,"Tonicia Gray, 1847",Tonicia,7PJMD,1,Catalogue of Life,
8,Leptochiton versicolor,Leptochiton versicolor,2109,2131,6.86,2,NO_ANNOT,,,PartialExact,0,"Leptochiton Gray, 1847",Leptochiton,7P786,1,Catalogue of Life,
9,Onithochiton,Onithochiton,2132,2144,3.70,1,NO_ANNOT,,,Exact,0,"Onithochiton Gray, 1847",Onithochiton,7PB8T,1,Catalogue of Life,
10,Chiton piceus,Chiton piceus,2165,2178,7.37,2,NO_ANNOT,,,Exact,0,"Chiton piceus Gmelin, 1791",Chiton piceus,7QNCT,1,Catalogue of Life,
11,Chretopleura rugosa,Chretopleura rugosa,2179,2198,6.53,2,NO_ANNOT,,,NoMatch,,,,,,,,
12,Lorica cimolia,Lorica cimolia,2199,2213,4.16,2,NO_ANNOT,,,Exact,0,"Lorica cimolia L. A. Reeve, 1847",Lorica cimolia,142303117,164,BioLib.cz,
