Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
40,Xanthidium decempunctata,Xanthidium decempunctata,14634,14658,13.70,2,SP_NOV,,,PartialExact,0,"Xanthidium Ehrenberg ex Ralfs, 1848",Xanthidium,88CZ,1,Catalogue of Life,
41,Nomada,Nomada,17660,17666,2.10,1,SP_NOV,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
42,Xanthidium sanctaecrucis,Xanthidium sanctaecrucis,17667,17691,11.39,2,SP_NOV,,,PartialExact,0,"Xanthidium Ehrenberg ex Ralfs, 1848",Xanthidium,88CZ,1,Catalogue of Life,
43,Nomada,Nomada,19720,19726,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
44,Xanthidium subsimilis,Xanthidium subsimilis,19727,19748,12.86,2,NO_ANNOT,,,PartialExact,0,"Xanthidium Ehrenberg ex Ralfs, 1848",Xanthidium,88CZ,1,Catalogue of Life,
45,N. civilis,N. civilis,20234,20244,6.61,2,NO_ANNOT,,,NoMatch,,,,,,,,
46,N. civilis,N. civilis,20474,20484,6.61,2,NO_ANNOT,,,NoMatch,,,,,,,,
47,Nomada,Nomada,20785,20791,2.10,1,SP_NOV,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
48,Xanthidium coquilletti,Xanthidium coquilletti,20792,20814,11.58,2,SP_NOV,,,PartialExact,0,"Xanthidium Ehrenberg ex Ralfs, 1848",Xanthidium,88CZ,1,Catalogue of Life,
49,Xanthidium,Xanthidium,22579,22589,5.45,1,NO_ANNOT,,,Exact,0,"Xanthidium Ehrenberg ex Ralfs, 1848",Xanthidium,88CZ,1,Catalogue of Life,
50,Nomada,Nomada,22595,22601,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
51,Nomada,Nomada,22777,22783,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
52,Xanthidium,Xanthidium,22786,22796,5.45,1,SP_NOV,,,Exact,0,"Xanthidium Ehrenberg ex Ralfs, 1848",Xanthidium,88CZ,1,Catalogue of Life,
53,Nomada,Nomada,25051,25057,2.10,1,SP_NOV,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
54,Phor subgracilis,Phor subgracilis,25058,25074,9.90,2,SP_NOV,,,PartialExact,0,"Phor Robertson, 1903",Phor,urn:lsid:irmng.org:taxname:1257124,181,IRMNG,
55,Nomada,Nomada,26665,26671,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
56,Nomada rubrica,Nomada rubrica,26758,26772,9.17,2,NO_ANNOT,,,Exact,0,"Nomada rubrica Provancher, 1896",Nomada rubrica,47NGN,1,Catalogue of Life,
57,N. grayi,N. grayi,27022,27030,4.82,2,NO_ANNOT,,,NoMatch,,,,,,,,
58,Nomada subangusta,Nomada subangusta,27171,27188,8.80,2,SP_NOV,,,Exact,0,"Nomada subangusta Cockerell, 1903",Nomada subangusta,47NJQ,1,Catalogue of Life,
59,A.␤modocorum,A. modocorum,28848,28860,6.88,2,NO_ANNOT,,,NoMatch,,,,,,,,
60,N. cordleyi,N. cordleyi,29170,29181,6.01,2,NO_ANNOT,,,NoMatch,,,,,,,,
61,Nomada erythraea,Nomada erythraea,29277,29293,8.47,2,NO_ANNOT,,,Exact,0,"Nomada erythraea Dalla Torre, 1896",Nomada erythraea,47N46,1,Catalogue of Life,
62,Nomada rhodosoma,Nomada rhodosoma,29734,29750,8.51,2,SP_NOV,,,Exact,0,"Nomada rhodosoma Cockerell, 1903",Nomada rhodosoma,47NG5,1,Catalogue of Life,
63,Hind tibiae,Hind tibiae,30111,30122,0.13,2,NO_ANNOT,,,NoMatch,,,,,,,,
64,Nomada californiae,Nomada californiae,30373,30391,9.44,2,SP_NOV,,,Exact,0,"Nomada californiae Cockerell, 1903",Nomada californiae,73Z9S,1,Catalogue of Life,
65,N. astori,N. astori,31235,31244,4.74,2,NO_ANNOT,,,NoMatch,,,,,,,,
66,N. corvallisensis,N. corvallisensis,31255,31272,7.58,2,NO_ANNOT,,,NoMatch,,,,,,,,
67,Nomada ultimella,Nomada ultimella,31568,31584,9.21,2,NO_ANNOT,,,Exact,0,"Nomada ultimella Cockerell, 1903",Nomada ultimella,47NLG,1,Catalogue of Life,
68,Nomada latifrons,Nomada latifrons,32398,32414,6.53,2,SP_NOV,,,Exact,0,"Nomada latifrons Cockerell, 1903",Nomada latifrons,47N9D,1,Catalogue of Life,
69,N. erythrochroa,N. erythrochroa,33341,33356,5.10,2,NO_ANNOT,,,NoMatch,,,,,,,,
70,N. corvallisensis,N. corvallisensis,33471,33488,7.58,2,NO_ANNOT,,,NoMatch,,,,,,,,
71,Nomada tintinnabulum,Nomada tintinnabulum,33687,33707,5.86,2,SP_NOV,,,Exact,0,"Nomada tintinnabulum Cockerell, 1903",Nomada tintinnabulum,47NKX,1,Catalogue of Life,
72,N. corvallisensis,N. corvallisensis,34536,34553,7.58,2,NO_ANNOT,,,NoMatch,,,,,,,,
73,Nomada atrofrontata,Nomada atrofrontata,34820,34839,10.32,2,SP_NOV,,,Exact,0,"Nomada atrofrontata Cockerell, 1903",Nomada atrofrontata,47MX8,1,Catalogue of Life,
74,Nomada excellens,Nomada excellens,36393,36409,8.53,2,SP_NOV,,,Exact,0,Nomada excellens,Nomada excellens,7853885,179,Open Tree of Life,
75,A.␤atrofrontata,A. atrofrontata,36711,36726,7.89,2,NO_ANNOT,,,NoMatch,,,,,,,,
76,N. clarkii,N. clarkii,38107,38117,5.90,2,NO_ANNOT,,,NoMatch,,,,,,,,
77,Nomada,Nomada,38167,38173,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
78,Nomada angelarum,Nomada angelarum,38207,38223,9.32,2,SP_NOV,,,Exact,0,"Nomada angelarum Cockerell, 1903",Nomada angelarum,73YY5,1,Catalogue of Life,
79,N. oregonica,N. oregonica,40225,40237,7.09,2,NO_ANNOT,,,NoMatch,,,,,,,,
80,Nomada davidsoni,Nomada davidsoni,40379,40395,8.86,2,SP_NOV,,,Exact,0,"Nomada davidsoni Cockerell, 1903",Nomada davidsoni,73Z9R,1,Catalogue of Life,
81,N. articulata,N. articulata,42415,42428,7.68,2,NO_ANNOT,,,NoMatch,,,,,,,,
82,Nomada subvicinalis,Nomada subvicinalis,42527,42546,9.72,2,SP_NOV,,,Exact,0,"Nomada subvicinalis Cockerell, 1903",Nomada subvicinalis,47NK2,1,Catalogue of Life,
83,Nomada marginella,Nomada marginella,44233,44250,9.33,2,SP_NOV,,,Exact,0,"Nomada marginella Cockerell, 1903",Nomada marginella,6RZ9G,1,Catalogue of Life,
84,Nomada oregonica,Nomada oregonica,46577,46593,9.53,2,NO_ANNOT,,,Exact,0,"Nomada oregonica Cockerell, 1903",Nomada oregonica,47NDB,1,Catalogue of Life,
85,Nomada bifurcata,Nomada bifurcata,46659,46675,10.00,2,SP_NOV,,,Exact,0,"Nomada bifurcata Cockerell, 1903",Nomada bifurcata,73YXS,1,Catalogue of Life,
86,N. sayi,N. sayi,47028,47035,4.18,2,NO_ANNOT,,,NoMatch,,,,,,,,
87,Nomada elegantula,Nomada elegantula,48401,48418,9.21,2,NO_ANNOT,,,Exact,0,"Nomada elegantula Cockerell, 1903",Nomada elegantula,47N3X,1,Catalogue of Life,
88,N. bifurcata.,N. bifurcata,50002,50015,7.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
89,NOMADA.,Nomada,50049,50056,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
90,Nomada superba,Nomada superba,50078,50092,7.33,2,NO_ANNOT,,,Exact,0,"Nomada superba Cresson, 1863",Nomada superba,6RYYG,1,Catalogue of Life,
91,Nomada luteola,Nomada luteola,50581,50595,8.76,2,NO_ANNOT,,,Exact,0,"Nomada luteola Olivier, 1811",Nomada luteola,73Z9L,1,Catalogue of Life,
92,Scutellum,Scutellum,50784,50793,5.86,1,NO_ANNOT,,,Exact,0,Scutellum,Scutellum,63SY7,1,Catalogue of Life,
93,State pascoensis,State pascoensis,51464,51480,0.54,2,NO_ANNOT,,,NoMatch,,,,,,,,
94,Xanthidium,Xanthidium,55191,55201,5.45,1,NO_ANNOT,,,Exact,0,"Xanthidium Ehrenberg ex Ralfs, 1848",Xanthidium,88CZ,1,Catalogue of Life,
95,Holonomada,Holonomada,55214,55224,2.98,1,NO_ANNOT,,,Exact,0,"Holonomada Robertson, 1903",Holonomada,urn:lsid:irmng.org:taxname:1171256,181,IRMNG,
96,Nomada,Nomada,55394,55400,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
97,A.␤luteola,A. luteola,55486,55496,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
98,Nomada vincta,Nomada vincta,55621,55634,8.28,2,NO_ANNOT,,,Exact,0,"Nomada vincta Say, 1837",Nomada vincta,47NM6,1,Catalogue of Life,
99,N. vincta,N. vincta,56071,56080,5.85,2,NO_ANNOT,,,NoMatch,,,,,,,,
100,Nomada zebrata,Nomada zebrata,56171,56185,9.65,2,NO_ANNOT,,,Exact,0,"Nomada zebrata Cresson, 1878",Nomada zebrata,47NMZ,1,Catalogue of Life,
101,N. morrisoni.,N. morrisoni,56251,56264,6.43,2,NO_ANNOT,,,NoMatch,,,,,,,,
102,Nomada elrodi,Nomada elrodi,56736,56749,7.27,2,SP_NOV,,,Exact,0,"Nomada elrodi Cockerell, 1903",Nomada elrodi,47N3Y,1,Catalogue of Life,
103,Nomada sulphurata,Nomada sulphurata,58802,58819,10.12,2,NO_ANNOT,,,Exact,0,"Nomada sulphurata Smith, 1854",Nomada sulphurata,47NK8,1,Catalogue of Life,
104,A.␤sulphurata,A. sulphurata,59782,59795,7.68,2,NO_ANNOT,,,NoMatch,,,,,,,,
105,Nomada rivalis,Nomada rivalis,59927,59941,9.04,2,NO_ANNOT,,,Exact,0,"Nomada rivalis Cresson, 1878",Nomada rivalis,73YYM,1,Catalogue of Life,
106,A.␤citrina.,A. citrina,60177,60188,6.46,2,NO_ANNOT,,,NoMatch,,,,,,,,
107,Nomada civilis,Nomada civilis,60189,60203,9.04,2,NO_ANNOT,,,Exact,0,"Nomada civilis Cresson, 1878",Nomada civilis,47MZF,1,Catalogue of Life,
108,Nomada luteoloides,Nomada luteoloides,60563,60581,8.84,2,NO_ANNOT,,,Exact,0,"Nomada luteoloides Robertson, 1895",Nomada luteoloides,6RYXK,1,Catalogue of Life,
109,N. luteola,N. luteola,60591,60601,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
110,A.␤luteola,A. luteola,60654,60664,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
111,N. sulphurata,N. sulphurata,61332,61345,7.68,2,NO_ANNOT,,,NoMatch,,,,,,,,
112,N. luteola,N. luteola,61388,61398,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
113,N. luteola,N. luteola,61701,61711,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
114,N. luteola.,N. luteola,61824,61835,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
115,Nomada edwardsii,Nomada edwardsii,62026,62042,9.01,2,NO_ANNOT,,,Exact,0,"Nomada edwardsii Cresson, 1878",Nomada edwardsii,6RZ9Q,1,Catalogue of Life,
116,Nomada,Nomada,62301,62307,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
117,Holonomada,Holonomada,64233,64243,2.98,1,NO_ANNOT,,,Exact,0,"Holonomada Robertson, 1903",Holonomada,urn:lsid:irmng.org:taxname:1171256,181,IRMNG,
118,N. xanthophila,N. xanthophila,64470,64484,6.45,2,NO_ANNOT,,,NoMatch,,,,,,,,
119,Nomada succincta,Nomada succincta,64622,64638,8.93,2,NO_ANNOT,,,Exact,0,"Nomada succincta Panzer, 1798",Nomada succincta,47NK4,1,Catalogue of Life,
