Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
35,Balanus,Balanus,1046,1053,5.34,1,NO_ANNOT,,,Exact,0,Balanus,Balanus,37JS,1,Catalogue of Life,
36,Batocrinus,Batocrinus,1079,1089,5.93,1,NO_ANNOT,,,Exact,0,"Batocrinus Casseday, 1854",Batocrinus,urn:lsid:irmng.org:taxname:1339922,181,IRMNG,
37,Belideus,Belideus,1094,1102,5.52,1,NO_ANNOT,,,Exact,0,"Belideus Waterhouse, 1839",Belideus,urn:lsid:irmng.org:taxname:1192446,181,IRMNG,
38,Bittium,Bittium,1130,1137,4.86,1,NO_ANNOT,,,Exact,0,"Bittium Gray, 1847",Bittium,7NQSK,1,Catalogue of Life,
39,Boehmeria,Boehmeria,1142,1151,4.85,1,NO_ANNOT,,,Exact,0,Boehmeria Jacq.,Boehmeria,3B2D,1,Catalogue of Life,
40,Bopyrus,Bopyrus,1155,1162,5.01,1,NO_ANNOT,,,Exact,0,"Bopyrus Latreille, 1802",Bopyrus,7NQX8,1,Catalogue of Life,
41,Bourgueticrinus,Bourgueticrinus,1174,1189,6.57,1,NO_ANNOT,,,Exact,0,"Bourgueticrinus d'Orbigny, 1840",Bourgueticrinus,urn:lsid:irmng.org:taxname:1062435,181,IRMNG,
42,Calappa,Calappa,1276,1283,4.04,1,NO_ANNOT,,,Exact,0,"Calappa Weber, 1795",Calappa,7NRJ9,1,Catalogue of Life,
43,Caligus,Caligus,1301,1308,5.17,1,NO_ANNOT,,,Exact,0,"Caligus Müller O.F., 1785",Caligus,87DSB,1,Catalogue of Life,
44,Calli crinus,Calli crinus,1313,1325,3.03,2,NO_ANNOT,,,NoMatch,,,,,,,,
45,Callinectes,Callinectes,1330,1341,3.67,1,NO_ANNOT,,,Exact,0,"Callinectes Stimpson, 1860",Callinectes,7NRKW,1,Catalogue of Life,
46,Calpiocrinus,Calpiocrinus,1353,1365,6.29,1,NO_ANNOT,,,Exact,0,"Calpiocrinus Angelin, 1878",Calpiocrinus,urn:lsid:irmng.org:taxname:1364925,181,IRMNG,
47,Capromys,Capromys,1406,1414,5.07,1,NO_ANNOT,,,Exact,0,"Capromys Desmarest, 1822",Capromys,3H6N,1,Catalogue of Life,
48,Cardium,Cardium,1419,1426,4.86,1,NO_ANNOT,,,Exact,0,"Cardium Linnaeus, 1758",Cardium,7NRX7,1,Catalogue of Life,
49,Carelia,Carelia,1434,1441,4.14,1,NO_ANNOT,,,Exact,0,"Carelia H. Adams & A. Adams, 1855",Carelia,7NZVL,1,Catalogue of Life,
50,Carinella,Carinella,1462,1471,6.20,1,NO_ANNOT,,,Exact,0,"Carinella Sowerby, 1839",Carinella,urn:lsid:irmng.org:taxname:1376342,181,IRMNG,
51,Carinifex,Carinifex,1508,1517,3.58,1,NO_ANNOT,,,Exact,0,"Carinifex Binney, 1865",Carinifex,urn:lsid:irmng.org:taxname:1263682,181,IRMNG,
52,Catillocrinus,Catillocrinus,1522,1535,6.38,1,NO_ANNOT,,,Exact,0,"Catillocrinus Shumard, 1866",Catillocrinus,urn:lsid:irmng.org:taxname:1053456,181,IRMNG,
53,Cebus,Cebus,1540,1545,3.62,1,NO_ANNOT,,,Exact,0,"Cebus Erxleben, 1777",Cebus,62K6B,1,Catalogue of Life,
54,Cenobita,Cenobita,1549,1557,4.72,1,NO_ANNOT,,,Exact,0,"Cenobita Latreille, 1829",Cenobita,urn:lsid:marinespecies.org:taxname:590188,9,WoRMS,
55,Cerastium,Cerastium,1600,1609,5.28,1,NO_ANNOT,,,Exact,0,Cerastium L.,Cerastium,3KNW,1,Catalogue of Life,
56,Cercopithecus,Cercopithecus,1622,1635,6.78,1,NO_ANNOT,,,Exact,0,"Cercopithecus Linnaeus, 1758",Cercopithecus,3L2F,1,Catalogue of Life,
57,Ceronia,Ceronia,1648,1655,3.62,1,NO_ANNOT,,,Exact,0,"Ceronia Gray, 1853",Ceronia,urn:lsid:irmng.org:taxname:1437702,181,IRMNG,
58,Chirogaleus,Chirogaleus,1718,1729,5.98,1,NO_ANNOT,,,Exact,0,"Chirogaleus Oken, 1816",Chirogaleus,urn:lsid:irmng.org:taxname:1254727,181,IRMNG,
59,Chonetes,Chonetes,1733,1741,3.21,1,NO_ANNOT,,,Exact,0,"Chonetes Whitfield, 1905",Chonetes,urn:lsid:irmng.org:taxname:1280394,181,IRMNG,
60,Chromodoris,Chromodoris,1750,1761,5.35,1,NO_ANNOT,,,Exact,0,"Chromodoris Alder & Hancock, 1855",Chromodoris,7NSSW,1,Catalogue of Life,
61,Chrysochloris,Chrysochloris,1780,1793,5.67,1,NO_ANNOT,,,Exact,0,"Chrysochloris Lacépède, 1799",Chrysochloris,3PG7,1,Catalogue of Life,
62,Cidaris,Cidaris,1802,1809,4.64,1,NO_ANNOT,,,Exact,0,"Cidaris Leske, 1778",Cidaris,87F28,1,Catalogue of Life,
63,Clavagella,Clavagella,1840,1850,6.37,1,NO_ANNOT,,,Exact,0,"Clavagella Blainville, 1817",Clavagella,7NZRQ,1,Catalogue of Life,
64,Clinopistha,Clinopistha,1871,1882,5.33,1,NO_ANNOT,,,Exact,0,"Clinopistha Meek & Worthen, 1870",Clinopistha,urn:lsid:irmng.org:taxname:1140124,181,IRMNG,
65,Codiacrinus,Codiacrinus,1916,1927,6.05,1,NO_ANNOT,,,Exact,0,"Codiacrinus Schultze, 1866",Codiacrinus,urn:lsid:irmng.org:taxname:1195723,181,IRMNG,
66,Coelogenys,Coelogenys,1932,1942,4.45,1,NO_ANNOT,,,Exact,0,"Coelogenys Illiger, 1811",Coelogenys,urn:lsid:irmng.org:taxname:1380489,181,IRMNG,
67,Corticifera,Corticifera,2031,2042,5.44,1,NO_ANNOT,,,Exact,0,Corticifera,Corticifera,62LXM,1,Catalogue of Life,
68,Crucibulum,Crucibulum,2144,2154,6.03,1,NO_ANNOT,,,Exact,0,"Crucibulum Schumacher, 1817",Crucibulum,7NTTV,1,Catalogue of Life,
69,Cteniza,Cteniza,2159,2166,4.66,1,NO_ANNOT,,,Exact,0,Cteniza,Cteniza,3WY2,1,Catalogue of Life,
70,Cuculanus,Cuculanus,2171,2180,5.76,1,NO_ANNOT,,,Exact,0,"Cuculanus Bloch, 1782",Cuculanus,urn:lsid:irmng.org:taxname:1216480,181,IRMNG,
71,Cupressocrinus,Cupressocrinus,2200,2214,6.60,1,NO_ANNOT,,,Exact,0,"Cupressocrinus Agassiz, 1836",Cupressocrinus,urn:lsid:irmng.org:taxname:1167368,181,IRMNG,
72,Cuscus,Cuscus,2223,2229,5.46,1,NO_ANNOT,,,Exact,0,"Cuscus Lesson, 1826",Cuscus,urn:lsid:irmng.org:taxname:1452443,181,IRMNG,
73,Cyanea,Cyanea,2234,2240,4.48,1,NO_ANNOT,,,Exact,0,"Cyanea Péron & Lesueur, 1810",Cyanea,84MNB,1,Catalogue of Life,
74,Cyathaxonia,Cyathaxonia,2245,2256,4.33,1,NO_ANNOT,,,Exact,0,"Cyathaxonia Michelin, 1847",Cyathaxonia,urn:lsid:irmng.org:taxname:1049135,181,IRMNG,
75,Cyclas,Cyclas,2286,2292,2.79,1,NO_ANNOT,,,Exact,0,Cyclas Schreb.,Cyclas,22161-1,167,IPNI,
76,Cyclocardia,Cyclocardia,2301,2312,4.38,1,NO_ANNOT,,,Exact,0,"Cyclocardia Conrad, 1867",Cyclocardia,7NV3F,1,Catalogue of Life,
77,Cyclograpsus,Cyclograpsus,2317,2329,4.84,1,NO_ANNOT,,,Exact,0,"Cyclograpsus H. Milne Edwards, 1837",Cyclograpsus,7NV3Y,1,Catalogue of Life,
78,Cyclosa,Cyclosa,2334,2341,4.36,1,NO_ANNOT,,,Exact,0,Cyclosa,Cyclosa,3Y3Q,1,Catalogue of Life,
79,Cynocephalus,Cynocephalus,2350,2362,6.45,1,NO_ANNOT,,,Exact,0,"Cynocephalus Boddaert, 1768",Cynocephalus,3YK7,1,Catalogue of Life,
80,Cynoelurus,Cynoelurus,2366,2376,3.98,1,NO_ANNOT,,,Exact,0,Cynoelurus,Cynoelurus,3566929,168,ION,
81,Cyprina,Cyprina,2380,2387,3.72,1,NO_ANNOT,,,Exact,0,"Cyprina Lamarck, 1818",Cyprina,urn:lsid:irmng.org:taxname:1349201,181,IRMNG,
82,Cyrtoceras,Cyrtoceras,2433,2443,4.90,1,NO_ANNOT,,,Exact,0,Cyrtoceras Benn.,Cyrtoceras,7MZ6S,1,Catalogue of Life,
83,Dendrocrinus,Dendrocrinus,2484,2496,6.29,1,NO_ANNOT,,,Exact,0,"Dendrocrinus Hall, 1852",Dendrocrinus,urn:lsid:irmng.org:taxname:1332395,181,IRMNG,
84,Diadema,Diadema,2514,2521,5.34,1,NO_ANNOT,,,Exact,0,"Diadema Gray, 1825",Diadema,7NW5M,1,Catalogue of Life,
