Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
1,Donax mediamericana,Donax mediamericana,217,236,11.48,2,NO_ANNOT,,,Exact,0,"Donax mediamericana Pilsbry, 1920",Donax mediamericana,86ZGJ,1,Catalogue of Life,
2,D. striata.,D. striata,273,284,7.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
3,Scolodonta,Scolodonta,331,341,3.79,1,NO_ANNOT,,,Exact,0,"Scolodonta Doering, 1875",Scolodonta,7PGFQ,1,Catalogue of Life,
4,Scolodonta zeteki.,Scolodonta zeteki,698,716,8.56,2,NO_ANNOT,,,Exact,0,"Scolodonta zeteki Pilsbry, 1920",Scolodonta zeteki,urn:lsid:marinespecies.org:taxname:1447642,9,WoRMS,
5,Gamboa.,Gamboa,1021,1028,3.27,1,NO_ANNOT,,,Exact,0,"Gamboa Bamber, 2012",Gamboa,84Q78,1,Catalogue of Life,
6,Gamboa,Gamboa,1061,1067,3.27,1,NO_ANNOT,,,Exact,0,"Gamboa Bamber, 2012",Gamboa,84Q78,1,Catalogue of Life,
7,Thysanophora textilis,Thysanophora textilis,1330,1351,13.73,2,NO_ANNOT,,,Exact,0,"Thysanophora textilis Pilsbry, 1920",Thysanophora textilis,7TCNS,1,Catalogue of Life,
8,Drymaeus,Drymaeus,2037,2045,5.52,1,NO_ANNOT,,,Exact,0,"Drymaeus Albers, 1850",Drymaeus,87FQL,1,Catalogue of Life,
9,Thysanophora,Thysanophora,2061,2073,6.59,1,NO_ANNOT,,,Exact,0,"Thysanophora Strebel & Pfeffer, 1879",Thysanophora,7PJHX,1,Catalogue of Life,
10,Thysanophora,Thysanophora,2122,2134,6.59,1,NO_ANNOT,,,Exact,0,"Thysanophora Strebel & Pfeffer, 1879",Thysanophora,7PJHX,1,Catalogue of Life,
11,Pupisoma,Pupisoma,2141,2149,4.94,1,NO_ANNOT,,,Exact,0,"Pupisoma Stoliczka, 1873",Pupisoma,7PF9P,1,Catalogue of Life,
12,Thysanophora textilis.,Thysanophora textilis,2225,2247,13.73,2,NO_ANNOT,,,Exact,0,"Thysanophora textilis Pilsbry, 1920",Thysanophora textilis,7TCNS,1,Catalogue of Life,
13,Helicina oaxacana.,Helicina oaxacana,2257,2275,10.90,2,NO_ANNOT,,,Exact,0,"Helicina oaxacana Pilsbry, 1920",Helicina oaxacana,3K7ST,1,Catalogue of Life,
14,Helicina oaxacana,Helicina oaxacana,2276,2293,10.90,2,NO_ANNOT,,,Exact,0,"Helicina oaxacana Pilsbry, 1920",Helicina oaxacana,3K7ST,1,Catalogue of Life,
15,H. raresulcata,H. raresulcata,2966,2980,7.99,2,NO_ANNOT,,,NoMatch,,,,,,,,
16,Eutrochatella microdina chryseis,Eutrochatella microdina chryseis,3158,3190,17.18,3,NO_ANNOT,,,PartialExact,0,Eutrochatella microdina Morelet,Eutrochatella microdina,gn_98805,186,MCZbase,
17,E. microdina,E. microdina,3393,3405,6.82,2,NO_ANNOT,,,NoMatch,,,,,,,,
18,Eutrochatella,Eutrochatella,3679,3692,6.82,1,NO_ANNOT,,,Exact,0,"Eutrochatella P. Fischer, 1885",Eutrochatella,7P3SG,1,Catalogue of Life,
19,Helicina,Helicina,3704,3712,3.96,1,NO_ANNOT,,,Exact,0,"Helicina Rafinesque, 1815",Helicina,7NVZP,1,Catalogue of Life,
20,E. microdina,E. microdina,3858,3870,6.82,2,NO_ANNOT,,,NoMatch,,,,,,,,
21,E. simpsoni,E. simpsoni,4067,4078,6.27,2,NO_ANNOT,,,NoMatch,,,,,,,,
22,Pyrgodomus,Pyrgodomus,4334,4344,5.49,1,NO_ANNOT,,,Exact,0,"Pyrgodomus Crosse & P. Fischer, 1894",Pyrgodomus,7PFDC,1,Catalogue of Life,
23,COCHLIOPA,Cochliopa,4409,4418,4.76,1,NO_ANNOT,,,Exact,0,"Cochliopa Stimpson, 1865",Cochliopa,7NT7Y,1,Catalogue of Life,
24,Cochliopa riograndensis,Cochliopa riograndensis,4574,4597,12.62,2,NO_ANNOT,,,Exact,0,"Cochliopa riograndensis Pilsbry & Ferriss, 1906",Cochliopa riograndensis,WN8V,1,Catalogue of Life,
25,Cochliopa compacta,Cochliopa compacta,4757,4775,11.42,2,NO_ANNOT,,,Exact,0,"Cochliopa compacta Pilsbry, 1910",Cochliopa compacta,WN8J,1,Catalogue of Life,
26,Cochliopa picta,Cochliopa picta,4875,4890,10.42,2,NO_ANNOT,,,Exact,0,"Cochliopa picta Pilsbry, 1910",Cochliopa picta,5ZHRB,1,Catalogue of Life,
