Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
151,S. marmorata,S. marmorata,39173,39185,7.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
152,S. bicuspida,S. bicuspida,39239,39251,6.69,2,NO_ANNOT,,,NoMatch,,,,,,,,
153,Synidotea consolidata,Synidotea consolidata,39314,39335,13.45,2,NO_ANNOT,,,Exact,0,"Synidotea consolidata (Stimpson, 1856)",Synidotea consolidata,53X9G,1,Catalogue of Life,
154,Idotea consolidata,Idotea consolidata,39354,39372,12.74,2,NO_ANNOT,,,Exact,0,"Idotea consolidata Stimpson, 1856",Idotea consolidata,6N5CX,1,Catalogue of Life,
155,Edotia bicuspida,Edotia bicuspida,39464,39480,11.59,2,NO_ANNOT,,,Exact,0,Edotia bicuspida (Owen),Edotia bicuspida,gn_64250,186,MCZbase,
156,Idotea bicuspida,Idotea bicuspida,39485,39501,11.44,2,NO_ANNOT,,,Exact,0,"Idotea bicuspida Owen, 1839",Idotea bicuspida,6N5D8,1,Catalogue of Life,
157,S. bicuspida,S. bicuspida,39747,39759,6.69,2,NO_ANNOT,,,NoMatch,,,,,,,,
158,Synidotea,Synidotea,40180,40189,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
159,Synidotea laticauda,Synidotea laticauda,40299,40318,11.08,2,NO_ANNOT,,,Exact,0,"Synidotea laticauda Benedict, 1897",Synidotea laticauda,7B8KV,1,Catalogue of Life,
160,Synidotea,Synidotea,40361,40370,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
161,Synidotea laticauda,Synidotea laticauda,40835,40854,11.08,2,NO_ANNOT,,,Exact,0,"Synidotea laticauda Benedict, 1897",Synidotea laticauda,7B8KV,1,Catalogue of Life,
162,Synidotea nebulosa,Synidotea nebulosa,42351,42369,12.44,2,NO_ANNOT,,,Exact,0,"Synidotea nebulosa Benedict, 1897",Synidotea nebulosa,7B9XJ,1,Catalogue of Life,
163,Synidotea nebulosa,Synidotea nebulosa,42977,42995,12.44,2,NO_ANNOT,,,Exact,0,"Synidotea nebulosa Benedict, 1897",Synidotea nebulosa,7B9XJ,1,Catalogue of Life,
164,S. picta,S. picta,43647,43655,5.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
165,Kyska,Kyska,43744,43749,1.19,1,NO_ANNOT,,,Exact,0,"Kyska Shoemaker, 1964",Kyska,7P7YR,1,Catalogue of Life,
166,Synidotea angulata,Synidotea angulata,44379,44397,12.87,2,NO_ANNOT,,,Exact,0,"Synidotea angulata Benedict, 1897",Synidotea angulata,53X96,1,Catalogue of Life,
167,S. nebulosa.,S. nebulosa,44620,44632,6.97,2,NO_ANNOT,,,NoMatch,,,,,,,,
168,Synidotea angulata,Synidotea angulata,45116,45134,12.87,2,NO_ANNOT,,,Exact,0,"Synidotea angulata Benedict, 1897",Synidotea angulata,53X96,1,Catalogue of Life,
169,Synidotea pallida,Synidotea pallida,45900,45917,11.79,2,NO_ANNOT,,,Exact,0,"Synidotea pallida Benedict, 1897",Synidotea pallida,7B9XY,1,Catalogue of Life,
170,Synidotea pallida,Synidotea pallida,46983,47000,11.79,2,NO_ANNOT,,,Exact,0,"Synidotea pallida Benedict, 1897",Synidotea pallida,7B9XY,1,Catalogue of Life,
171,Synidotea erosa,Synidotea erosa,47766,47781,11.44,2,NO_ANNOT,,,Exact,0,"Synidotea erosa Benedict, 1897",Synidotea erosa,53X9K,1,Catalogue of Life,
172,Erosa,Erosa,47969,47974,3.92,1,NO_ANNOT,,,Exact,0,Erosa,Erosa,6342S,1,Catalogue of Life,
173,S. pallida,S. pallida,48001,48011,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
174,S. pallida,S. pallida,48360,48370,6.33,2,NO_ANNOT,,,NoMatch,,,,,,,,
175,Synidotea erosa,Synidotea erosa,48980,48995,11.44,2,NO_ANNOT,,,Exact,0,"Synidotea erosa Benedict, 1897",Synidotea erosa,53X9K,1,Catalogue of Life,
176,Synidotea nodulosa,Synidotea nodulosa,50069,50087,12.44,2,NO_ANNOT,,,Exact,0,"Synidotea nodulosa (Krøyer, 1846)",Synidotea nodulosa,7B9XW,1,Catalogue of Life,
177,Synidotea laevis,Synidotea laevis,52652,52668,10.94,2,NO_ANNOT,,,Exact,0,"Synidotea laevis Benedict, 1897",Synidotea laevis,7B8KW,1,Catalogue of Life,
178,S. nodulosa,S. nodulosa,52859,52870,6.97,2,NO_ANNOT,,,NoMatch,,,,,,,,
179,Synidotea laevis,Synidotea laevis,53508,53524,10.94,2,NO_ANNOT,,,Exact,0,"Synidotea laevis Benedict, 1897",Synidotea laevis,7B8KW,1,Catalogue of Life,
180,Synidotea muricata,Synidotea muricata,53594,53612,12.87,2,NO_ANNOT,,,Exact,0,"Synidotea muricata (Harford, 1877)",Synidotea muricata,7B9XK,1,Catalogue of Life,
181,Hotcea muricata,Hotcea muricata,53631,53646,5.70,2,NO_ANNOT,,,NoMatch,,,,,,,,
182,Synidotea muricata,Synidotea muricata,55419,55437,12.87,2,NO_ANNOT,,,Exact,0,"Synidotea muricata (Harford, 1877)",Synidotea muricata,7B9XK,1,Catalogue of Life,
183,Synidotea picta,Synidotea picta,55471,55486,10.79,2,NO_ANNOT,,,Exact,0,"Synidotea picta Benedict, 1897",Synidotea picta,7B9XS,1,Catalogue of Life,
184,Synidotea picta,Synidotea picta,55500,55515,10.79,2,NO_ANNOT,,,Exact,0,"Synidotea picta Benedict, 1897",Synidotea picta,7B9XS,1,Catalogue of Life,
185,S. nebulosa,S. nebulosa,57086,57097,6.97,2,NO_ANNOT,,,NoMatch,,,,,,,,
186,Synidotea picta,Synidotea picta,57210,57225,10.79,2,NO_ANNOT,,,Exact,0,"Synidotea picta Benedict, 1897",Synidotea picta,7B9XS,1,Catalogue of Life,
187,Synidotea harfordi,Synidotea harfordi,57742,57760,11.08,2,NO_ANNOT,,,Exact,0,"Synidotea harfordi Benedict, 1897",Synidotea harfordi,53X9T,1,Catalogue of Life,
188,Synidotea harfordi,Synidotea harfordi,59118,59136,11.08,2,NO_ANNOT,,,Exact,0,"Synidotea harfordi Benedict, 1897",Synidotea harfordi,53X9T,1,Catalogue of Life,
189,Synidotea hirtipes,Synidotea hirtipes,59161,59179,11.25,2,NO_ANNOT,,,Exact,0,"Synidotea hirtipes (Milne Edwards, 1840)",Synidotea hirtipes,53X9V,1,Catalogue of Life,
190,Idotea hirtipes,Idotea hirtipes,59194,59209,10.54,2,NO_ANNOT,,,Exact,0,"Idotea hirtipes Dana, 1853",Idotea hirtipes,6MTCQ,1,Catalogue of Life,
191,Edotia hirtipes,Edotia hirtipes,59304,59319,10.70,2,NO_ANNOT,,,Exact,0,Edotia hirtipes (M.-Edw. ),Edotia hirtipes,4071043,168,ION,
192,Synidotea lsevidorsalis,Synidotea lsevidorsalis,60790,60813,7.75,2,NO_ANNOT,,,Fuzzy,1,"Synidotea laevidorsalis (Miers, 1881)",Synidotea laevidorsalis,7B8KZ,1,Catalogue of Life,
193,Edotia hirtipes,Edotia hirtipes,60821,60836,10.70,2,NO_ANNOT,,,Exact,0,Edotia hirtipes (M.-Edw. ),Edotia hirtipes,4071043,168,ION,
194,I. hirtipes,I. hirtipes,61189,61200,5.79,2,NO_ANNOT,,,NoMatch,,,,,,,,
195,I. hirtipes,I. hirtipes,61391,61402,5.79,2,NO_ANNOT,,,NoMatch,,,,,,,,
