Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
34,Isodontia laevipes,Isodontia laevipes,4846,4864,11.41,2,SP_NOV,,,Exact,0,"Isodontia laevipes (W. Fox, 1897)",Isodontia laevipes,3Q8FZ,1,Catalogue of Life,
35,S. laevipes,S. laevipes,6069,6080,5.79,2,NO_ANNOT,,,NoMatch,,,,,,,,
36,S. costipennis,S. costipennis,6140,6154,7.27,2,NO_ANNOT,,,NoMatch,,,,,,,,
37,Sphex,Sphex,6305,6310,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
38,Isodontia azteca,Isodontia azteca,6311,6327,6.86,2,NO_ANNOT,,,Exact,0,"Isodontia azteca (de Saussure, 1867)",Isodontia azteca,3Q8F4,1,Catalogue of Life,
39,Sphex caliginosus,Sphex caliginosus,6369,6386,10.25,2,NO_ANNOT,,,Exact,0,"Sphex caliginosus Erichson, 1849",Sphex caliginosus,4YYGJ,1,Catalogue of Life,
40,Sphex fuliginosus,Sphex fuliginosus,6448,6465,10.25,2,NO_ANNOT,,,Exact,0,"Sphex fuliginosus Dahlbom, 1843",Sphex fuliginosus,4YYNQ,1,Catalogue of Life,
41,Sphex,Sphex,6534,6539,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
42,Lep.␤latior,Lep. latior,6550,6561,5.09,2,NO_ANNOT,,,NoMatch,,,,,,,,
43,Sphex funestus,Sphex funestus,6784,6798,10.29,2,NO_ANNOT,,,Exact,0,"Sphex funestus Kohl, 1890",Sphex funestus,4YYNZ,1,Catalogue of Life,
44,Sphex neotropicus,Sphex neotropicus,6865,6882,10.31,2,NO_ANNOT,,,Exact,0,"Sphex neotropicus Kohl, 1890",Sphex neotropicus,4YYVD,1,Catalogue of Life,
45,Sphex ingens,Sphex ingens,6994,7006,8.52,2,NO_ANNOT,,,Exact,0,"Sphex ingens F. Smith, 1856",Sphex ingens,4YYR4,1,Catalogue of Life,
46,Sphex melanopus,Sphex melanopus,7095,7110,9.14,2,NO_ANNOT,,,Exact,0,"Sphex melanopus Dahlbom, 1843",Sphex melanopus,6YZ5F,1,Catalogue of Life,
47,Sphex hrasilianus,Sphex hrasilianus,7185,7202,5.37,2,NO_ANNOT,,,Fuzzy,1,"Sphex brasilianus de Saussure, 1867",Sphex brasilianus,4YYG3,1,Catalogue of Life,
48,Sphex flavipes,Sphex flavipes,7273,7287,8.85,2,NO_ANNOT,,,Exact,0,"Sphex flavipes Christ, 1791",Sphex flavipes,4YYN4,1,Catalogue of Life,
49,Sphex ichneumoneus,Sphex ichneumoneus,7370,7388,9.97,2,NO_ANNOT,,,Exact,0,"Sphex ichneumoneus (Linnaeus, 1758)",Sphex ichneumoneus,4YYQT,1,Catalogue of Life,
50,Sphex duhitatus,Sphex duhitatus,7590,7605,5.42,2,NO_ANNOT,,,Fuzzy,1,"Sphex dubitatus Cresson, 1873",Sphex dubitatus,4YYLD,1,Catalogue of Life,
51,Sphex ferrugineipes,Sphex ferrugineipes,8573,8592,9.36,2,SP_NOV,,,Exact,0,"Sphex ferrugineipes W. Fox, 1897",Sphex ferrugineipes,4YYMK,1,Catalogue of Life,
52,Sphex,Sphex,10285,10290,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
53,Priononyx,Priononyx,10291,10300,4.46,1,NO_ANNOT,,,Exact,0,"Priononyx Dahlbom, 1843",Priononyx,6VTC,1,Catalogue of Life,
54,Sphex,Sphex,10437,10442,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
55,Priononyx bifoveolatus,Priononyx bifoveolatus,10443,10465,12.50,2,NO_ANNOT,,,Exact,0,"Priononyx bifoveolatus Taschenberg, 1869",Priononyx bifoveolatus,4MFYC,1,Catalogue of Life,
56,Psen aurifrons,Psen aurifrons,10546,10560,6.44,2,NO_ANNOT,,,Exact,0,"Psen aurifrons Tsuneki, 1959",Psen aurifrons,4NFZW,1,Catalogue of Life,
57,Psen,Psen,10609,10613,2.00,1,SP_NOV,,,Exact,0,"Psen Latreille, 1796",Psen,6YGJ,1,Catalogue of Life,
58,P. fuscipes.,P. fuscipes,11895,11907,5.79,2,NO_ANNOT,,,NoMatch,,,,,,,,
59,Stigmus neotropicus,Stigmus neotropicus,11908,11927,12.49,2,NO_ANNOT,,,Exact,0,"Stigmus neotropicus Kohl, 1890",Stigmus neotropicus,52NMY,1,Catalogue of Life,
60,Stigmus hexagonalis,Stigmus hexagonalis,11961,11980,12.63,2,SP_NOV,,,Exact,0,"Stigmus hexagonalis W. Fox, 1897",Stigmus hexagonalis,52NMF,1,Catalogue of Life,
61,S. temporalis,S. temporalis,12944,12957,7.08,2,NO_ANNOT,,,NoMatch,,,,,,,,
