Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Trochomorpha,Trochomorpha,568,580,6.08,1,NO_ANNOT,,,Exact,0,"Trochomorpha Albers, 1850",Trochomorpha,7PK2T,1,Catalogue of Life,
1,Spiropoma,Spiropoma,792,801,5.11,1,SP_NOV,,,Exact,0,"Spiropoma Kobelt & Möllendorff, 1900",Spiropoma,urn:lsid:irmng.org:taxname:1449969,181,IRMNG,
2,Spiropoma,Spiropoma,1514,1523,5.11,1,NO_ANNOT,,,Exact,0,"Spiropoma Kobelt & Möllendorff, 1900",Spiropoma,urn:lsid:irmng.org:taxname:1449969,181,IRMNG,
3,Pupinella rufa var.␤tanegashimae,Pupinella rufa var. tanegashimae,1608,1640,17.22,3,NO_ANNOT,,,Exact,0,"Pupinella rufa var. tanegashimae Pilsbry, 1901",Pupinella rufa tanegashimae,urn:lsid:marinespecies.org:taxname:1436717,9,WoRMS,
4,P. rufa,P. rufa,1659,1666,3.75,2,NO_ANNOT,,,NoMatch,,,,,,,,
5,Pupinella,Pupinella,1814,1823,6.20,1,NO_ANNOT,,,Exact,0,"Pupinella Gray, 1850",Pupinella,7PF9J,1,Catalogue of Life,
6,P. rufa,P. rufa,1860,1867,3.75,2,NO_ANNOT,,,NoMatch,,,,,,,,
7,P. rufa.,P. rufa,2062,2070,3.75,2,NO_ANNOT,,,NoMatch,,,,,,,,
8,P. rufa.,P. rufa,2307,2315,3.75,2,NO_ANNOT,,,NoMatch,,,,,,,,
9,P. rufa.,P. rufa,2397,2405,3.75,2,NO_ANNOT,,,NoMatch,,,,,,,,
10,P. rufa,P. rufa,2566,2573,3.75,2,NO_ANNOT,,,NoMatch,,,,,,,,
11,Diplommatina,Diplommatina,2829,2841,4.66,1,SP_NOV,,,Exact,0,"Diplommatina Benson, 1849",Diplommatina,7NVSX,1,Catalogue of Life,
12,D. saginata,D. saginata,3387,3398,7.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
13,Helicina yaeyamensis,Helicina yaeyamensis,3421,3441,11.89,2,SP_NOV,,,Exact,0,"Helicina yaeyamensis Pilsbry, 1901",Helicina yaeyamensis,7RJ4S,1,Catalogue of Life,
14,H. verecunda.,H. verecunda,3597,3610,6.10,2,NO_ANNOT,,,NoMatch,,,,,,,,
15,Microcystina,Microcystina,4288,4300,4.66,1,NO_ANNOT,,,Exact,0,"Microcystina Mörch, 1872",Microcystina,7P8VS,1,Catalogue of Life,
16,MacrocWamys tanegashimae,Macrocwamys tanegashimae,5015,5039,4.95,2,SP_NOV,,,NoMatch,,,,,,,,
17,Vitrea,Vitrea,5616,5622,3.76,1,NO_ANNOT,,,Exact,0,"Vitrea Fitzinger, 1833",Vitrea,7PKVF,1,Catalogue of Life,
18,Macrochlamys,Macrochlamys,5681,5693,5.76,1,NO_ANNOT,,,Exact,0,"Macrochlamys Gray, 1847",Macrochlamys,7P86B,1,Catalogue of Life,
19,Clausilia oscariana,Clausilia oscariana,5851,5870,11.65,2,SP_NOV,,,Exact,0,"Clausilia oscariana Pilsbry, 1901",Clausilia oscariana,urn:lsid:marinespecies.org:taxname:1436722,9,WoRMS,
20,Lunella,Lunella,6418,6425,5.79,1,NO_ANNOT,,,Exact,0,"Lunella Röding, 1798",Lunella,7P7Z7,1,Catalogue of Life,
