Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Antonio.,Antonio,2953,2961,3.44,1,NO_ANNOT,,,NoMatch,,,,,,,,
1,Larus atricilla,Larus atricilla,8044,8059,11.69,2,NO_ANNOT,,,Exact,0,"Larus atricilla Linnaeus, 1758",Larus atricilla,3SBPR,1,Catalogue of Life,
2,Larus franklinii,Larus franklinii,8226,8242,11.89,2,NO_ANNOT,,,Exact,0,Larus franklinii (Richard 1831),Larus franklinii,428929,172,PaleoBioDB,
3,Gelochelidon nilotica,Gelochelidon nilotica,8908,8929,11.97,2,NO_ANNOT,,,Exact,0,"Gelochelidon nilotica (Gmelin, 1789)",Gelochelidon nilotica,3FJY7,1,Catalogue of Life,
4,Sterna tschegrava,Sterna tschegrava,9000,9017,4.04,2,NO_ANNOT,,,Exact,0,"Sterna tschegrava Ödmann, 1782",Sterna tschegrava,urn:lsid:marinespecies.org:taxname:1464509,9,WoRMS,
5,Sterna forsteri,Sterna forsteri,9088,9103,9.27,2,NO_ANNOT,,,Exact,0,"Sterna forsteri Nuttall, 1834",Sterna forsteri,6ZSCV,1,Catalogue of Life,
6,Sterna antillarum,Sterna antillarum,9274,9291,9.41,2,NO_ANNOT,,,Exact,0,"Sterna antillarum (Lesson, 1847)",Sterna antillarum,6ZSBM,1,Catalogue of Life,
7,Hydrochelidon nigra surinamensis,Hydrochelidon nigra surinamensis,9940,9972,15.78,3,NO_ANNOT,,,Exact,0,Hydrochelidon nigra surinamensis,Hydrochelidon nigra surinamensis,3697884,168,ION,
8,Rhynchops nigra,Rhynchops nigra,10235,10250,9.20,2,NO_ANNOT,,,Exact,0,Rhynchops nigra Dietz 1909,Rhynchops nigra,3662039,168,ION,
9,Phalacrocorax mexicanus,Phalacrocorax mexicanus,10298,10321,12.99,2,NO_ANNOT,,,Exact,0,Phalacrocorax mexicanus,Phalacrocorax mexicanus,3723905,168,ION,
10,Anas fulvigula maculosa,Anas fulvigula maculosa,10622,10645,15.06,3,NO_ANNOT,,,Exact,0,"Anas fulvigula maculosa Sennett, 1889",Anas fulvigula maculosa,5FL4Y,1,Catalogue of Life,
11,Spatula clypeata,Spatula clypeata,10776,10792,10.96,2,NO_ANNOT,,,Exact,0,"Spatula clypeata Linnaeus, 1758",Spatula clypeata,698,175,BirdLife International,
12,Ajaja ajaja,Ajaja ajaja,10869,10880,6.68,2,NO_ANNOT,,,Exact,0,Ajaja ajaja (Linnaeus 1758),Ajaja ajaja,368755,172,PaleoBioDB,
13,Agelaius,Agelaius,12405,12413,4.81,1,NO_ANNOT,,,Exact,0,"Agelaius Vieillot, 1816",Agelaius,QNC,1,Catalogue of Life,
14,Botaurus,Botaurus,13494,13502,5.26,1,NO_ANNOT,,,Exact,0,"Botaurus Stephens, 1819",Botaurus,3BT5,1,Catalogue of Life,
15,Ardea herodias,Ardea herodias,13731,13745,6.69,2,NO_ANNOT,,,Exact,0,"Ardea herodias Linnaeus, 1758",Ardea herodias,GCHW,1,Catalogue of Life,
16,Ardea egretta,Ardea egretta,13784,13797,9.39,2,NO_ANNOT,,,Exact,0,"Ardea egretta Gmelin, 1789",Ardea egretta,urn:lsid:marinespecies.org:taxname:1482007,9,WoRMS,
17,Ardea tricolor,Ardea tricolor,13906,13920,7.75,2,NO_ANNOT,,,Exact,0,"Ardea tricolor Müller, 1776",Ardea tricolor,urn:lsid:marinespecies.org:taxname:1485189,9,WoRMS,
18,Ardea virescens,Ardea virescens,14037,14052,11.07,2,NO_ANNOT,,,Exact,0,Ardea vireſcens Linnaeus 1758,Ardea virescens,89232101,132,ZooBank,
19,Nycticorax nycticorax,Nycticorax nycticorax,14089,14110,11.12,2,NO_ANNOT,,,Exact,0,"Nycticorax nycticorax (Linnaeus, 1758)",Nycticorax nycticorax,485KR,1,Catalogue of Life,
20,Rallus elegans,Rallus elegans,14423,14437,10.39,2,NO_ANNOT,,,Exact,0,"Rallus elegans Audubon, 1834",Rallus elegans,4RB9R,1,Catalogue of Life,
21,Recurvirostra americana,Recurvirostra americana,14575,14598,9.12,2,NO_ANNOT,,,Exact,0,"Recurvirostra americana Gmelin, 1789",Recurvirostra americana,4RP57,1,Catalogue of Life,
22,Himantopus mexioanus,Himantopus mexioanus,14725,14745,13.31,2,NO_ANNOT,,,Fuzzy,1,"Himantopus mexicanus (Statius Muller, 1776)",Himantopus mexicanus,6LWTY,1,Catalogue of Life,
23,Tringa maculata,Tringa maculata,14907,14922,12.24,2,NO_ANNOT,,,Exact,0,"Tringa maculata Vieillot, 1819",Tringa maculata,urn:lsid:marinespecies.org:taxname:1457365,9,WoRMS,
