Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
1,Crustacea,Crustacea,340,349,4.98,1,NO_ANNOT,,,Exact,0,"Crustacea Brünnich, 1772",Crustacea,83677,3,ITIS,
2,Birgus latro,Birgus latro,1105,1117,8.82,2,NO_ANNOT,,,Exact,0,"Birgus latro (Linnaeus, 1767)",Birgus latro,138430,2,Wikispecies,
3,Truncatella valida.,Truncatella valida,1122,1141,12.87,2,NO_ANNOT,,,Exact,0,"Truncatella valida L. Pfeiffer, 1846",Truncatella valida,7D8SY,1,Catalogue of Life,
4,Conus catus,Conus catus,1380,1391,11.47,2,NO_ANNOT,,,Exact,0,"Conus catus Hwass in Bruguière, 1792",Conus catus,XX4X,1,Catalogue of Life,
5,F.  eburneus,F. eburneus,1398,1410,6.43,2,NO_ANNOT,,,NoMatch,,,,,,,,
6,F.  retifer,F. retifer,1465,1476,4.92,2,NO_ANNOT,,,NoMatch,,,,,,,,
7,F.  vitulinus,F. vitulinus,1499,1512,6.91,2,NO_ANNOT,,,NoMatch,,,,,,,,
8,Glyphostoma,Glyphostoma,1541,1552,5.40,1,NO_ANNOT,,,Exact,0,"Glyphostoma Gabb, 1873",Glyphostoma,7P3WY,1,Catalogue of Life,
9,Murex rubesceus,Murex rubesceus,1560,1575,6.17,2,NO_ANNOT,,,PartialExact,0,"Murex Linnaeus, 1758",Murex,87GTH,1,Catalogue of Life,
10,Murex laqueatus,Murex laqueatus,1585,1600,11.07,2,NO_ANNOT,,,Exact,0,"Murex laqueatus G. B. Sowerby II, 1841",Murex laqueatus,44M7G,1,Catalogue of Life,
11,Maculotriton bradeatus,Maculotriton bradeatus,1609,1631,6.40,2,NO_ANNOT,,,PartialExact,0,"Maculotriton Dall, 1904",Maculotriton,7P88B,1,Catalogue of Life,
12,Purpura armigera,Purpura armigera,1666,1682,10.46,2,NO_ANNOT,,,Exact,0,"Purpura armigera (Link, 1807)",Purpura armigera,4QK6Z,1,Catalogue of Life,
13,C.  bitubercularis,C. bitubercularis,1690,1708,7.31,2,NO_ANNOT,,,NoMatch,,,,,,,,
14,Ricinula horrida,Ricinula horrida,1720,1736,11.50,2,NO_ANNOT,,,Exact,0,"Ricinula horrida Lamarck, 1816",Ricinula horrida,4T264,1,Catalogue of Life,
15,C.  ricinus,C. ricinus,1744,1755,6.56,2,NO_ANNOT,,,NoMatch,,,,,,,,
16,C.   elegans,C. elegans,1761,1773,4.85,2,NO_ANNOT,,,NoMatch,,,,,,,,
17,Ricinula digitaia,Ricinula digitaia,1795,1812,10.39,2,NO_ANNOT,,,Fuzzy,1,"Ricinula digitata Lamarck, 1816",Ricinula digitata,4T25P,1,Catalogue of Life,
18,C.  marginatra,C. marginatra,1821,1835,5.44,2,NO_ANNOT,,,NoMatch,,,,,,,,
19,Topas sertum,Topas sertum,1901,1913,3.57,2,NO_ANNOT,,,Fuzzy,1,"Iopas sertum (Bruguière, 1789)",Iopas sertum,7RR6R,1,Catalogue of Life,
20,Vexilla tmiiata,Vexilla tmiiata,1920,1935,8.30,2,NO_ANNOT,,,PartialExact,0,"Vexilla Swainson, 1840",Vexilla,7PKSB,1,Catalogue of Life,
21,Harpa minor,Harpa minor,2014,2025,5.43,2,NO_ANNOT,,,Exact,0,"Harpa minor Lamarck, 1822",Harpa minor,3JRQL,1,Catalogue of Life,
22,Cyprcea arabica,Cyprcea arabica,2037,2052,3.62,2,NO_ANNOT,,,Fuzzy,1,Cyproea arabica,Cyproea arabica,4108879,168,ION,
23,F.  araneosa,F. araneosa,2056,2068,6.97,2,NO_ANNOT,,,NoMatch,,,,,,,,
24,C.  carneola,C. carneola,2101,2113,6.52,2,NO_ANNOT,,,NoMatch,,,,,,,,
25,F.  cicercula,F. cicercula,2117,2130,6.66,2,NO_ANNOT,,,NoMatch,,,,,,,,
