Arachnida
Hypochilus
Nemastoma
Mesomphix perfragilis
Zonites perfragilis
Notes
Zonites perfragilis
Vitrina limpida
Vitrina limpida
Mesomphix subplana
Omphalina pilsbryi
Mesomphix
Mesomphix rugeli
Zonites rugeli
M. subplana
Omphalina
M. subplana
Mesomphix rugeli oxycoccus
Omphalina rugeli oxycoccus
Mesomphix inornata
M. rugeli
M. subplana
M. inornata
M. laevigata
Mesomphix andrewsae
M. laevigata
M. inornata
M. inornata
M. inornata
Omphalina
Mesomphix
Omphalina kopnodes
Omphalina friabilis
Omphalina cuprea ozarkensis
Omphalina friabilis
Omphalina friabilis
Omphalina pilsbryi
Mesomphix subplana
Omphalina lucubrata
Mesomphix rugeli
Mesomphix laevigata monticola
Mesomphix
Omphalina cuprea
O. friabilis
O. friabilis
O. pilsbryi
Mesomphix subplana
Mesomphix rugeli
Mesomphix
Mesomphix inornata
